ENGLISH,RUSSIAN
Legends 1B: Defend the Claim,Легенды 1B: Защита твердыни
"Lord Terenor is being attacked at Fort Eureeka. Why does he not simply withdraw?! We are forced to break the siege coming from the west.\! You, soldier, to me! What is your name?","Войска лорда Теренора в форте Эврика сдерживают неприятеля. Но почему он просто не отступит?! Нам придётся зайти с запада и прорвать осаду.\! Эй, боец! Иди сюда. Как тебя зовут?"
"Here, Captain! Barnabas Fitch, of Melmonde, sir!","Так точно, сэр! Я Барнабас Фитч из Мелмонда!"
"I noticed the way you handled yourself at Armitage. Well done, soldier.\! Melmonde? It seems your home town may soon be on the front lines of battle.\! Do you think you can lead a heavy cavalry detachment? Speed is of the essence in this mission and we will need young men like you most of all.","Я видел, как ты сражался в Армитаже. Молодец, солдат.\! Из Мелмонда, говоришь? Скоро линия фронта дойдёт и до твоего родного города.\! Справишься с командованием отрядом кавалерии? В этом бою придётся полагаться на скорость, и для этого нам нужны грамотные молодые ребята вроде тебя."
"Y-yes sir, I mean...\| I'll do what I can, Captain!\! Ain't much different than wranglin' wild horses back at the family farm, right?!","К-конечно, сэр! То есть...\| Я сделаю всё, что в моих силах, капитан!\! Это же примерно как диких скакунов обуздывать на ферме, да? Ничего сильно сложного!"
"Be sure not to let your men hear such a metaphor, kid.\! Lessons later, we need to move to Fort Eureeka. On the double!","Ты только бойцам своим такие вещи не говори.\! Потом ещё объясню тебе, как общаться с подчинёнными, но сейчас надо срочно выдвигаться к форту Эврика. Пошевеливаемся!"
"The age of Veridia will soon come to an end!\! Men of Ezrum, go, and bring glory to Sayunaa in my name!\! And we shall reduce Stormrook to rubble - these arrogant Midlander pigs must be sent a message. They will fear the utterance of the name, Rostam, Duke of Ezrum, ruler of Veridia!","Веридия слишком долго притесняла нас!\! Воины Эзрума, разгромите врага, принесите славу Саюна и мне!\! Мы камня на камне не оставим в Штормруке! Этим чванливым свиньям из центральных земель нужно преподать урок. Пусть научатся дрожать в страхе при звуке имени Ростама, герцога Эзрума и владыки Веридии!"
By Donar... Sayunaa has decided to move. We were told they would remain neutral!,Донар всевышний... саюнари перешли в наступление. Они же должны были соблюдать нейтралитет!
"Where I come from, a man 'n his word are all he's got! What gives?!",В моих краях порядки простые: слово нарушать нельзя! А они что творят?!
"We've seen the death of honor for some time now, soldier. Truth be told, this should be a surprise to no one.\! We must now protect both Fort Eureeka and Stormrook as well.\! May these treacherous Sayunaari not hold one parcel of Veridian ground!\! The walls of Stormrook have not fallen in a thousand years. Today shall be no different.","Боец, честь и достоинство давно уже выходят из моды. Если честно, то это даже не удивляет.\! Теперь нам придётся одновременно защищать и Штормрук, и форт Эврика.\! Не позволим этим предателям из Саюна захватить и метра веридийской территории!\! Тысячу лет стены Штормрука оставались неприступными. И сегодня мы продолжим эту традицию."
