ENGLISH,Russian
Fighter,Боец
Soldier,Солдат
Spearman,Копейщик
Zweihander,Цвайхендер
Champion,Чемпион
Samurai,Самурай
Centurion,Центурион
Sentinel,Страж
Cavalier,Кавалерист
Knight,Рыцарь
Paladin,Паладин
Valkyrie,Валькирия
Skirmisher,Застрельщик
Rogue,Разбойник
Ranger,Рейнджер
Assassin,Ассасин
Scout,Разведчик
Hussar,Гусар
Bowman,Лучник
Archer,Опытный лучник
Warbow,Мастер-лучник
Horsebow,Конный лучник
Raider,Налётчик
Medic,Лекарь
Priestess,Жрица
Templar,Храмовник
Hospitaller,Госпитальер
Apprentice,Ученик
Siren,Сирена
Fire Mage,Маг огня
Ice Mage,Маг льда
Lightning Mage,Маг молнии
Sorceress,Чародейка
Dark Mage,Тёмный маг
Crossbowman,Арбалетчик
Gunner,Стрелок
Dragoon,Драгун
Siege Cannon,Осадная пушка
Dragon,Дракон
Drakeling,Драклинг
Blue Dragon,Синий дракон
Silver Dragon,Серебряный дракон
Red Dragon,Красный дракон
Blue Dragon Rider,Всадник на синем драконе
Silver Dragon Rider,Всадник на серебряном драконе
Red Dragon Rider,Всадник на красном драконе
Captain,Капитан
Lord,Лорд
Azure King,Лазурный король
Exemplar,Экземплар
General,Генерал
Archmage,Архимаг
Dark Knight,Тёмный рыцарь
Mercenary,Наёмник
Azure Dragon,Лазурный дракон
Girl,Девочка
Boy,Мальчик
Titan,Титан
Mirage,Мираж
Dark God,Тёмный бог
Zanatus Arm,Длань Занатуса
Knight of Donar,Рыцарь Донара
Militia,Ополченец
Swordfighter,Мечник
Swordmaster,Мастер-мечник
Acolyte,Аколит
Magician,Волшебник
Magister,Магистр
Adventurer,Искатель приключений
Nightblade,Ночной клинок
Avatar of Donar,Аватар Донара
Scion of Donar,Наследник Донара
Blademaster,Повелитель мечей
Arbalest,Стреломёт
Warcat,Боевая кошка
Behemoth,Левиафан
Necromancer,Некромант
Risen Spearman,Восставший копейщик
Risen Soldier,Восставший солдат
Risen Swordsman,Восставший мечник
Risen Archer,Восставший лучник
Risen Warrior,Восставший воин
Risen Knight,Восставший рыцарь
Risen Archmage,Восставший архимаг
Queen of Dragons,Королева драконов
Oracle,Оракул
Field Cannon,Полевая пушка
