ENGLISH,FRENCH
him/her,lui/elle
Him/Her,Lui/Elle
his/hers,son/sa
His/Hers,Son/SA
he/she,il/elle
He/She,Il/Elle
Kuroda,Kuroda
Protagonist,Protagoniste
Zelos,Zelos
Jules,Jules
Sybil,Sybil
Barnabas,Barnabas
Diana,Diana
Stefan,Stefan
Abigayle,Abigayle
Narima,Narima
Raskuja,Raskuja
Lysander,Lysandre
Jaromir,Jaromir
Beatrix,Beatrix
Edelia,Edelia
Hand of Zanatus,Main de Zanatus
Kuroda,Kuroda
herself/himself,elle-même/lui-même
Herself/Himself,Elle-même/Lui-même
his/her,son/son
His/Her,Lui/Elle
P.M. Casamir,P.M. Casamir
General Antares,Général Antarès
Empress Florina,Impératrice Florina
Emp. Casamir,Emp. Casamir
Boy/Girl,Garçon/Fille
boy/girl,garçon/fille
Man/Woman,Homme/Femme
man/woman,homme/femme
Fighter,Chasseur
Bowman,Tireur
Medic,Médecin
Soldier,Soldat
Spearman,Lancier
Archer,Archer
Rogue,Voleur
Priestess,Prêtresse
Apprentice,Apprenti
Sentinel,Sentinelle
Zweihander,Chevalier
Halberdier,Hallebardier
Crossbowman,Arbalétrier
Assassin,Assassin
Paladin,Paladin
Templar,Templier
Siren,Sirène
Battlemage,Mage de bataille
Dark Mage,Mage Noir
Champion,Champion
Hoplite,Hoplite
Green Drakeling,Dragonneau vert
Blue Drakeling,Dragonneau bleu
Silver Drakeling,Dragonneau d'argent
Red Drakeling,Dragonneau rouge
Gold Drakeling,Dragonneau d'or
Black Drakeling,Dragonneau noir
Green Dragon,Dragon vert
Blue Dragon,Dragon bleu
Silver Dragon,Dragon d'argent
Red Dragon,Dragon rouge
Gold Dragon,Dragon d'or
Black Dragon,Dragon noir
Zanatus,Zanatus
Zanatus Hand,Main de Zanatus
Chef,Chef
Man,Homme
Woman,Femme
Scout,Éclaireur
Donari Priest,Prêtre de Donar
Donari Paladin,Paladin de Donar
Commander Trihan,Commandant Trihan
Zanatus Mage,Mage de Zanatus
Alex,Alex
Duke Lothair,Duc Lothair
Duke Terenor,Duc Terenor
Minister Harold,Ministre Harold
General Albert,Général Albert
Hooded Figure,Personne à capuche
Jebediah,Jebediah
Cyrus,Cyrus
Child,Enfant
Imperial Soldier,Soldat impérial
Grandmaster Oxley,Grand maître Oxley
Emperor Zelos,Empereur Zelos
Imperial Minister,Ministre impérial
Wolfgar,Wolfgar
Isanter Commander,Commandant Isanter
Rimorgue Commander,Commandant Rimorgue
Dragon Rider,Dragonnier
Prison Guard,Garde de prison
General Narima,Général Narima
King Jules,Roi Jules
Lieutenant,Lieutenant
General Trihan,Général Trihan
Randolf,Randolf
General Ragavi,Général Ragavi
Imperial Officer,Officier impérial
Imperial Cadet,Cadet impérial
Pendergast,Pendergast
Father,Père
Mother,Mère
Siege Commander,Commandant de siège
Klaus,Klaus
Dirk,Dirk
Temple Guard,Garde de Temple
Donari Pilgrim,Pèlerin de Donar
Captain Antares,Capitaine Antarès
Cadet Barnabas,Cadet Barnabas
Florina,Florina
Lord Godfrey,Seigneur Godfrey
Duke Rostam,Duc Rostam
Razehl,Razehl
Azuros,Azuros
Tidereaver Marauder,Maraudeur Brise-vagues
