ENGLISH,KOREAN
Fighter,전사
Soldier,정규보병
Spearman,창병
Zweihander,양손검사
Champion,챔피언
Samurai,사무라이
Centurion,백인대장
Sentinel,감시병
Cavalier,기마병
Knight,기사
Paladin,성기사
Valkyrie,발키리
Skirmisher,척후병
Rogue,도적
Ranger,레인저
Assassin,암살자
Scout,정찰기병
Hussar,창기병
Bowman,활잡이
Archer,궁수
Warbow,저격수
Horsebow,궁기병
Raider,급습기병
Medic,메딕
Priestess,여사제
Templar,수호사제
Hospitaller,간호단
Apprentice,견습생
Siren,사이렌
Fire Mage,화염 마법사
Ice Mage,얼음 마법사
Lightning Mage,번개 마법사
Sorceress,여마법사
Dark Mage,암흑법사
Crossbowman,석궁병
Gunner,총병
Dragoon,총기병
Siege Cannon,공성 대포
Dragon,용
Drakeling,새끼 용
Blue Dragon,푸른 용
Silver Dragon,은색 용
Red Dragon,붉은 용
Blue Dragon Rider,푸른 용기수
Silver Dragon Rider,은빛 용기수
Red Dragon Rider,붉은 용기수
Captain,대장
Lord,군주
Azure King,창공빛 왕
Exemplar,수석 성기사
General,장군
Archmage,대마법사
Dark Knight,암흑 기사
Mercenary,용병
Azure Dragon,창공빛 용
Girl,소녀
Boy,소년
Titan,타이탄
Mirage,신기루
Dark God,어둠 신
Zanatus Arm,자나투스 팔
Knight of Donar,도나르의 기사
Militia,민병대
Swordfighter,검사
Swordmaster,소드마스터
Acolyte,견습 성기사
Magician,마술사
Magister,마지스터
Adventurer,모험가
Nightblade,밤의 검
Avatar of Donar,도나르의 현신
Scion of Donar,도나르의 자손
Blademaster,블레이드마스터
Arbalest,기계석궁병
Warcat,워캣
Behemoth,베헤모스
Necromancer,사령술사
Risen Spearman,부활한 창병
Risen Soldier,부활한 정규보병
Risen Swordsman,부활한 검사
Risen Archer,부활한 궁수
Risen Warrior,부활한 전사
Risen Knight,부활한 기사
Risen Archmage,부활한 대마법사
Queen of Dragons,용들의 여왕
Oracle,오라클
Field Cannon,야포
