ENGLISH,GERMAN
him/her,ihn/sie
Him/Her,Ihn/Sie
his/hers,sein/ihr
His/Hers,Sein/Ihr
he/she,er/sie
He/She,Er/Sie
Kuroda,Kuroda
Protagonist,Hauptfigur
Zelos,Zelos
Jules,Jules
Sybil,Sybil
Barnabas,Barnabas
Diana,Diana
Stefan,Stefan
Abigayle,Abigayle
Narima,Narima
Raskuja,Raskuja
Lysander,Lysander
Jaromir,Jaromir
Beatrix,Beatrix
Edelia,Edelia
Hand of Zanatus,Hand des Zanatus
Kuroda,Kuroda
herself/himself,sich
Herself/Himself,Sich
his/her,sein/ihr
His/Her,Sein/Ihr
P.M. Casamir,PM Casamir
General Antares,General Antares
Empress Florina,Kaiserin Florina
Emp. Casamir,Kaiser Casamir
Boy/Girl,Junge/Mädchen
boy/girl,Junge/Mädchen
Man/Woman,Mann/Frau
man/woman,Mann/Frau
Fighter,Kämpfer
Bowman,Bogenschütze
Medic,Heilerin
Soldier,Soldier
Spearman,Speerkämpfer
Archer,Scharfschütze
Rogue,Schurke
Priestess,Priesterin
Apprentice,Lehrling
Sentinel,Schildwache
Zweihander,Zweihänder
Halberdier,Hellebardist
Crossbowman,Armbrustschütze
Assassin,Assassine
Paladin,Paladin
Templar,Templerin
Siren,Sirene
Battlemage,Kampfmagier
Dark Mage,Schattenmagier
Champion,Recke
Hoplite,Hoplit
Green Drakeling,Grüner Drachling
Blue Drakeling,Blauer Drachling
Silver Drakeling,Silberner Drachling
Red Drakeling,Roter Drachling
Gold Drakeling,Goldener Drachling
Black Drakeling,Schwarzer Drachling
Green Dragon,Grüner Drache
Blue Dragon,Blauer Drache
Silver Dragon,Silberner Drache
Red Dragon,Roter Drache
Gold Dragon,Goldener Drache
Black Dragon,Schwarzer Drache
Zanatus,Zanatus
Zanatus Hand,Zanatus’ Hand
Chef,Koch
Man,Mann
Woman,Frau
Scout,Späher
Donari Priest,Donari-Priester
Donari Paladin,Donari-Paladin
Commander Trihan,Kommandant Trihan
Zanatus Mage,Zanatus’ Magier
Alex,Alex
Duke Lothair,Herzog Lothair
Duke Terenor,Herzog Terenor
Minister Harold,Minister Harold
General Albert,General Albert
Hooded Figure,Vermummte Gestalt
Jebediah,Jebediah
Cyrus,Cyrus
Child,Kind
Imperial Soldier,Kaiserlicher Soldat
Grandmaster Oxley,Großmeister Oxley
Emperor Zelos,Kaiser Zelos
Imperial Minister,Kaiserlicher Minister
Wolfgar,Wolfgar
Isanter Commander,Isanter-Kommandant
Rimorgue Commander,Rimorgue-Kommandant
Dragon Rider,Drachenreiter
Prison Guard,Gefängniswache
General Narima,Generalin Narima
King Jules,König Jules
Lieutenant,Leutnant
General Trihan,General Trihan
Randolf,Randolf
General Ragavi,Generalin Ragavi
Imperial Officer,Kaiserlicher Offizier
Imperial Cadet,Kaiserlicher Kadett
Pendergast,Pendergast
Father,Vater
Mother,Mutter
Siege Commander,Belag.-Kommandant
Klaus,Klaus
Dirk,Dirk
Temple Guard,Tempelwache
Donari Pilgrim,Donari-Pilger
Captain Antares,Hauptmann Antares
Cadet Barnabas,Kadett Barnabas
Florina,Florina
Lord Godfrey,Lord Godfrey
Duke Rostam,Herzog Rostam
Razehl,Razehl
Azuros,Azuros
Tidereaver Marauder,Gezeitenräuber-Plünderer
