ENGLISH,SPANISH
him/her,él/ella
Him/Her,él/ella
his/hers,su
His/Hers,Su
he/she,él/ella
He/She,Él/Ella
Kuroda,Kuroda
Protagonist,Protagonista
Zelos,Zelos
Jules,Jules
Sybil,Sybil
Barnabas,Barnabas
Diana,Diana
Stefan,Stefan
Abigayle,Abigail
Narima,Narima
Raskuja,Raskuja
Lysander,Lysander
Jaromir,Jaromir
Beatrix,Beatrix
Edelia,Edelia
Hand of Zanatus,Mano de Zanatus
Kuroda,Kuroda
herself/himself,ella/él
Herself/Himself,Ella/Él
his/her,su
His/Her,Su
P.M. Casamir,PM Casamir
General Antares,General Antares
Empress Florina,Emperatriz Florina
Emp. Casamir,Emp. Casamir
Boy/Girl,Chico/Chica
boy/girl,chico/chica
Man/Woman,Hombre/Mujer
man/woman,hombre/mujer
Fighter,Luchador
Bowman,Saetero
Medic,Curandera
Soldier,Soldado
Spearman,Lancero
Archer,Arquero
Rogue,Pícaro
Priestess,Sacerdotisa
Apprentice,Aprendiz
Sentinel,Centinela
Zweihander,Adalid
Halberdier,Alabardero
Crossbowman,Ballestero
Assassin,Asesino
Paladin,Paladina
Templar,Gran templaria
Siren,Sirena
Battlemage,Mago bélico
Dark Mage,Mago oscuro
Champion,Campeón
Hoplite,Hoplita
Green Drakeling,Draco verde
Blue Drakeling,Draco azul
Silver Drakeling,Draco plateado
Red Drakeling,Draco rojo
Gold Drakeling,Draco dorado
Black Drakeling,Draco negro
Green Dragon,Dragón verde
Blue Dragon,Dragón azul
Silver Dragon,Dragón plateado
Red Dragon,Dragón rojo
Gold Dragon,Dragón dorado
Black Dragon,Dragón negro
Zanatus,Zanatus
Zanatus Hand,Mano de Zanatus
Chef,Jefe
Man,Hombre
Woman,Mujer
Scout,Explorador
Donari Priest,Monje donari
Donari Paladin,Paladina donari
Commander Trihan,Comandante Trihan
Zanatus Mage,Mago de Zanatus
Alex,Alex
Duke Lothair,Duque Lothair
Duke Terenor,Duque Terenor
Minister Harold,Ministro Harold
General Albert,General Albert
Hooded Figure,Encapuchado
Jebediah,Jebediah
Cyrus,Cirus
Child,Niño
Imperial Soldier,Soldado imperial
Grandmaster Oxley,Gran maestro Oxley
Emperor Zelos,Emperador Zelos
Imperial Minister,Ministro imperial
Wolfgar,Wolfgar
Isanter Commander,Comandante Isanter
Rimorgue Commander,Comandante Rimorgue
Dragon Rider,Jinete de dragones
Prison Guard,Guarda de prisión
General Narima,General Narima
King Jules,Rey Jules
Lieutenant,Teniente
General Trihan,General Trihan
Randolf,Randolf
General Ragavi,General Ragavi
Imperial Officer,Oficial imperial
Imperial Cadet,Cadete imperial
Pendergast,Pendergast
Father,Papá
Mother,Mamá
Siege Commander,Comandante de asalto
Klaus,Klaus
Dirk,Dirk
Temple Guard,Guarda templario
Donari Pilgrim,Peregrino donari
Captain Antares,Capitán Antares
Cadet Barnabas,Cadete Barnabas
Florina,Florina
Lord Godfrey,Lord Godfrey
Duke Rostam,Duque Rostam
Razehl,Razel
Azuros,Azuros
Tidereaver Marauder,Asaltante cazamareas
