ENGLISH,GERMAN
Fighter,Kämpfer
Soldier,Soldat
Spearman,Speerkämpfer
Zweihander,Zweihänder
Champion,Recke
Samurai,Samurai
Centurion,Zenturio
Sentinel,Schildwache
Cavalier,Reiterkrieger
Knight,Ritter
Paladin,Paladin
Valkyrie,Walküre
Skirmisher,Scharmützler
Rogue,Schurke
Ranger,Waldläufer
Assassin,Assassine
Scout,Späher
Hussar,Husar
Bowman,Bogenschütze
Archer,Scharfschütze
Warbow,Bogenkrieger
Horsebow,Bogenreiter
Raider,Reiterschütze
Medic,Heilerin
Priestess,Priesterin
Templar,Templerin
Hospitaller,Professritterin
Apprentice,Lehrling
Siren,Sirene
Fire Mage,Feuermagier
Ice Mage,Eismagier
Lightning Mage,Blitzmagier
Sorceress,Zauberin
Dark Mage,Schattenmagier
Crossbowman,Armbrustschütze
Gunner,Gewehrschütze
Dragoon,Dragoner
Siege Cannon,Kanonier
Dragon,Drache
Drakeling,Drachling
Blue Dragon,Blauer Drache
Silver Dragon,Silberner Drache
Red Dragon,Roter Drache
Blue Dragon Rider,Drachenreiter (blau)
Silver Dragon Rider,Drachenreiter (silber)
Red Dragon Rider,Drachenreiter (rot)
Captain,Hauptmann
Lord,Generalmajor
Azure King,Azurkönig
Exemplar,Glaubensritter
General,General
Archmage,Erzmagierin
Dark Knight,Dunkler Ritter
Mercenary,Söldner
Azure Dragon,Azurdrache
Girl,Mädchen
Boy,Junge
Titan,Titanin
Mirage,Trugbild
Dark God,Dunkler Gott
Zanatus Arm,Zanatus’ Arm
Knight of Donar,Ritter Donars
Militia,Milizkämpferin
Swordfighter,Streiterin
Swordmaster,Haudegen
Acolyte,Akolythin
Magician,Zauberwirker
Magister,Magister
Adventurer,Abenteurer
Nightblade,Nachtklinge
Avatar of Donar,Inkarnation Donars
Scion of Donar,Anhänger Donars
Blademaster,Klingenmeisterin
Arbalest,Arbaleste
Warcat,Kriegskatze
Behemoth,Behemoth
Necromancer,Nekromant
Risen Spearman,Erweckter Speerkämpfer
Risen Soldier,Erweckter Soldat
Risen Swordsman,Erweckter Schwertkämpfer
Risen Archer,Erweckter Scharfschütze
Risen Warrior,Erweckter Krieger
Risen Knight,Erweckter Ritter
Risen Archmage,Erweckter Erzmagier
Queen of Dragons,Drachenkönigin
Oracle,Orakel
Field Cannon,Feldkanone
