ENGLISH,JAPANESE
him/her,彼に/彼女に
Him/Her,彼に/彼女に
his/hers,彼の/彼女の
His/Hers,彼の/彼女の
he/she,彼/彼女
He/She,彼/彼女
Kuroda,クロダ
Protagonist,主人公
Zelos,ゼロス
Jules,ジュールス
Sybil,シビル
Barnabas,バルナバス
Diana,ダイアナ
Stefan,ステファン
Abigayle,アビゲイル
Narima,ナリマ
Raskuja,ラスクージャ
Lysander,ライサンダー
Jaromir,ジャロミール
Beatrix,ベアトリクス
Edelia,エデリア
Hand of Zanatus,ザナトゥスの手
Kuroda,クロダ
herself/himself,彼女自身/彼自身
Herself/Himself,彼女自身/彼自身
his/her,彼の/彼女の
His/Her,彼の/彼女の
P.M. Casamir,カサミール首相
General Antares,アンタレス将軍
Empress Florina,フロリーナ女帝
Emp. Casamir,カサミール帝
Boy/Girl,少年/少女
boy/girl,少年/少女
Man/Woman,男/女
man/woman,男/女
Fighter,ファイター
Bowman,ボウマン
Medic,メディック
Soldier,兵士
Spearman,スピアマン
Archer,アーチャー
Rogue,ローグ
Priestess,プリースト
Apprentice,アプレンティス
Sentinel,センチネル
Zweihander,ツヴァイヘンダー
Halberdier,ハルバードマン
Crossbowman,クロスボウマン
Assassin,アサシン
Paladin,パラディン
Templar,テンプラー
Siren,セイレーン
Battlemage,バトルメイジ
Dark Mage,ダークメイジ
Champion,チャンピオン
Hoplite,ホップライト
Green Drakeling,グリーンドラケリング
Blue Drakeling,ブルードラケリング
Silver Drakeling,シルバードラケリング
Red Drakeling,レッドドラケリング
Gold Drakeling,ゴールドドラケリング
Black Drakeling,ブラックドラケリング
Green Dragon,グリーンドラゴン
Blue Dragon,ブルードラゴン
Silver Dragon,シルバードラゴン
Red Dragon,レッドドラゴン
Gold Dragon,ゴールドドラゴン
Black Dragon,ブラックドラゴン
Zanatus,ザナトゥス
Zanatus Hand,ザナトゥスの手
Chef,料理人
Man,男
Woman,女
Scout,偵察兵
Donari Priest,僧侶
Donari Paladin,パラディン
Commander Trihan,トライハン司令
Zanatus Mage,ザナトゥスの魔導士
Alex,アレックス
Duke Lothair,ロザイア公爵
Duke Terenor,テレノール公爵
Minister Harold,ハロルド大臣
General Albert,アルバート将軍
Hooded Figure,謎の男
Jebediah,ジェブディア
Cyrus,サイラス
Child,子供
Imperial Soldier,帝国兵
Grandmaster Oxley,オクスレイ大祭司
Emperor Zelos,ゼロス皇帝
Imperial Minister,帝国大臣
Wolfgar,ウルフガー
Isanter Commander,イサンテルの司令官
Rimorgue Commander,リモーグの司令官
Dragon Rider,竜騎兵
Prison Guard,看守
General Narima,ナリマ将軍
King Jules,ジュールス王
Lieutenant,隊長
General Trihan,トライハン司令
Randolf,ランドルフ
General Ragavi,ラガヴィ将軍
Imperial Officer,帝国将校
Imperial Cadet,帝国兵
Pendergast,ペンダーガスト
Father,父
Mother,母
Siege Commander,砲撃隊司令官
Klaus,クラウス
Dirk,ダーク
Temple Guard,門番
Donari Pilgrim,ドナー教徒
Captain Antares,アンタレス隊長
Cadet Barnabas,バルナバス
Florina,フロリーナ
Lord Godfrey,ゴドフリー卿
Duke Rostam,ロスタム公爵
Razehl,ラゼール
Azuros,アズロス
Tidereaver Marauder,タイドリーバー戦闘員
