ENGLISH,KOREAN
him/her,그에게/그녀에게
Him/Her,그에게/그녀에게
his/hers,그의 것/그녀의 것
His/Hers,그의 것/그녀의 것
he/she,그/그녀
He/She,그/그녀
Kuroda,쿠로다
Protagonist,주인공
Zelos,젤로스
Jules,줄스
Sybil,시빌
Barnabas,바나바스
Diana,다이애나
Stefan,스테판
Abigayle,아비게일
Narima,나리마
Raskuja,라스쿠자
Lysander,라이샌더
Jaromir,야로미어
Beatrix,베아트릭스
Edelia,에델리아
Hand of Zanatus,자나투스의 손
Kuroda,쿠로다
herself/himself,그녀 자신/그 자신
Herself/Himself,그녀 자신/그 자신
his/her,그의/그녀의
His/Her,그의/그녀의
P.M. Casamir,카사미르 수상
General Antares,안타레스 장군
Empress Florina,플로리나 여황
Emp. Casamir,카사미르 황제
Boy/Girl,소년/소녀
boy/girl,소년/소녀
Man/Woman,남자/여자
man/woman,남자/여자
Fighter,전사
Bowman,활잡이
Medic,의무병
Soldier,군인
Spearman,창병
Archer,궁수
Rogue,도적
Priestess,여사제
Apprentice,견습생
Sentinel,수호자
Zweihander,양손검사
Halberdier,미늘창병
Crossbowman,석궁병
Assassin,암살자
Paladin,성기사
Templar,수호사제
Siren,사이렌
Battlemage,전투 마법사
Dark Mage,흑마법사
Champion,챔피언
Hoplite,장갑보병
Green Drakeling,녹색 새끼 용
Blue Drakeling,푸른 새끼 용
Silver Drakeling,은빛 새끼 용
Red Drakeling,붉은 새끼 용
Gold Drakeling,금빛 새끼 용
Black Drakeling,흑색 새끼 용
Green Dragon,녹색 용
Blue Dragon,푸른 용
Silver Dragon,은빛 용
Red Dragon,붉은 용
Gold Dragon,금빛 용
Black Dragon,흑색 용
Zanatus,자나투스
Zanatus Hand,자나투스의 손
Chef,요리사
Man,남자
Woman,여자
Scout,정찰병
Donari Priest,도나리교 사제
Donari Paladin,도나리교 성기사
Commander Trihan,트리한 사령관
Zanatus Mage,자나투스 마법사
Alex,알렉스
Duke Lothair,로테어 공작
Duke Terenor,테레노어 공작
Minister Harold,해롤드 대신
General Albert,알버트 장군
Hooded Figure,후드를 쓴 형체
Jebediah,제베디아
Cyrus,사이러스
Child,어린이
Imperial Soldier,제국군 병사
Grandmaster Oxley,대사제 옥슬리
Emperor Zelos,젤로스 황제
Imperial Minister,제국 수상
Wolfgar,울프가르
Isanter Commander,이산테르 지휘관
Rimorgue Commander,리모르그 지휘관
Dragon Rider,용기수
Prison Guard,간수
General Narima,나리마 장군
King Jules,줄스 왕
Lieutenant,장교
General Trihan,트리한 장군
Randolf,란돌프
General Ragavi,라가비 장군
Imperial Officer,제국 장교
Imperial Cadet,제국 사관생도
Pendergast,펜더가스트
Father,아버지
Mother,어머니
Siege Commander,공성 사령관
Klaus,클라우스
Dirk,더크
Temple Guard,도나리교 경비병
Donari Pilgrim,도나리교 순례자
Captain Antares,안타레스 대위
Cadet Barnabas,바나바스 부관
Florina,플로리나
Lord Godfrey,고드프리 공
Duke Rostam,로스탐 공작
Razehl,라젤
Azuros,아주로스
Tidereaver Marauder,타이드리버 약탈자
