ENGLISH,PORTUGUÊS (BRASIL)
him/her,ele/ela
Him/Her,Ele/Ela
his/hers,dele/dela
His/Hers,Dele/Dela
he/she,ele/ela
He/She,Ele/Ela
Kuroda,Kuroda
Protagonist,Protagonista
Zelos,Zelos
Jules,Jules
Sybil,Sybil
Barnabas,Barnabas
Diana,Diana
Stefan,Stefan
Abigayle,Abigayle
Narima,Narima
Raskuja,Raskuja
Lysander,Lysander
Jaromir,Jaromir
Beatrix,Beatrix
Edelia,Edelia
Hand of Zanatus,Mão de Zanatus
Kuroda,Kuroda
herself/himself,ela própria/ele próprio
Herself/Himself,Ela própria/Ele próprio
his/her,dele/dela
His/Her,Dele/Dela
P.M. Casamir,P.M. Casamir
General Antares,General Antares
Empress Florina,Imperatriz Florina
Emp. Casamir,Imp. Casamir
Boy/Girl,Menino/Menina
boy/girl,menino/menina
Man/Woman,Homem/Mulher
man/woman,homem/mulher
Fighter,Lutador
Bowman,Arqueirito
Medic,Médico
Soldier,Soldado
Spearman,Lanceiro
Archer,Arqueiro
Rogue,Ladino
Priestess,Sacerdotisa
Apprentice,Aprendiz
Sentinel,Sentinela
Zweihander,Zweihander
Halberdier,Halberdier
Crossbowman,Besteiro
Assassin,Assassino
Paladin,Paladino
Templar,Templário
Siren,Sirene
Battlemage,Mago de batalha
Dark Mage,Mago sombrio
Champion,Campeão
Hoplite,Hoplita
Green Drakeling,Dragonito verde
Blue Drakeling,Dragonito azul
Silver Drakeling,Dragonito prata
Red Drakeling,Dragonito vermelho
Gold Drakeling,Dragonito dourado
Black Drakeling,Dragonito preto
Green Dragon,Dragão verde
Blue Dragon,Dragão azul
Silver Dragon,Dragão prata
Red Dragon,Dragão vermelho
Gold Dragon,Dragão dourado
Black Dragon,Dragão preto
Zanatus,Zanatus
Zanatus Hand,Mão de Zanatus
Chef,Chef
Man,Homem
Woman,Mulher
Scout,Batedor
Donari Priest,Sacerdote Donari
Donari Paladin,Paladino Donari
Commander Trihan,Comandante Trihan
Zanatus Mage,Mago de Zanatus
Alex,Alex
Duke Lothair,Duque Lothair
Duke Terenor,Duque Terenor
Minister Harold,Ministro Harold
General Albert,General Albert
Hooded Figure,Pessoa encapuzada
Jebediah,Jebediah
Cyrus,Cyrus
Child,Criança
Imperial Soldier,Soldado imperial
Grandmaster Oxley,Grão-mestre Oxley
Emperor Zelos,Imperador Zelos
Imperial Minister,Ministro imperial
Wolfgar,Wolfgar
Isanter Commander,Comandante Isanter
Rimorgue Commander,Comandante Rimorgue
Dragon Rider,Cavaleiro de dragão
Prison Guard,Guarda da prisão
General Narima,General Narima
King Jules,Rei Jules
Lieutenant,Tenente
General Trihan,General Trihan
Randolf,Randolf
General Ragavi,General Ragavi
Imperial Officer,Oficial imperial
Imperial Cadet,Cadete imperial
Pendergast,Pendergast
Father,Pai
Mother,Mãe
Siege Commander,Comandante de cerco
Klaus,Klaus
Dirk,Dirk
Temple Guard,Guarda do templo
Donari Pilgrim,Peregrino Donari
Captain Antares,Capitão Antares
Cadet Barnabas,Cadete Barnabas
Florina,Florina
Lord Godfrey,Lorde Godfrey
Duke Rostam,Duque Rostam
Razehl,Razehl
Azuros,Azuros
Tidereaver Marauder,Saqueador Saquemar
