ENGLISH,JAPANESE
Fighter,ファイター
Soldier,ソルジャー
Spearman,スピアマン
Zweihander,ツヴァイヘンダー
Champion,チャンピオン
Samurai,サムライ
Centurion,センチュリオン
Sentinel,センチネル
Cavalier,キャバリアー
Knight,ナイト
Paladin,パラディン
Valkyrie,ヴァルキリー
Skirmisher,スカーミッシャー
Rogue,ローグ
Ranger,レンジャー
Assassin,アサシン
Scout,スカウト
Hussar,ハッサー
Bowman,ボウマン
Archer,アーチャー
Warbow,ウォーボウ
Horsebow,ホースボウ
Raider,レイダー
Medic,メディック
Priestess,プリースト
Templar,テンプラー
Hospitaller,ホスピタラー
Apprentice,アプレンティス
Siren,セイレーン
Fire Mage,ファイアメイジ
Ice Mage,アイスメイジ
Lightning Mage,ライトニングメイジ
Sorceress,ソーサレス
Dark Mage,ダークメイジ
Crossbowman,クロスボウマン
Gunner,ガンナー
Dragoon,ドラグーン
Siege Cannon,シージキャノン
Dragon,ドラゴン
Drakeling,ドラケリング
Blue Dragon,ブルードラゴン
Silver Dragon,シルバードラゴン
Red Dragon,レッドドラゴン
Blue Dragon Rider,ブルードラゴンライダー
Silver Dragon Rider,シルバードラゴンライダー
Red Dragon Rider,レッドドラゴンライダー
Captain,キャプテン
Lord,ロード
Azure King,アズーリキング
Exemplar,イグザンプラー
General,ジェネラル
Archmage,アークメイジ
Dark Knight,ダークナイト
Mercenary,マーセナリー
Azure Dragon,アズーリドラゴン
Girl,少女
Boy,少年
Titan,タイタン
Mirage,ミラージュ
Dark God,暗黒神
Zanatus Arm,ザナトゥスの手
Knight of Donar,ドナーの騎士
Militia,ミリティア
Swordfighter,ソードファイター
Swordmaster,ソードマスター
Acolyte,アコライト
Magician,マジシャン
Magister,マジスター
Adventurer,アドベンチャラー
Nightblade,ナイトブレード
Avatar of Donar,ドナーの化身
Scion of Donar,ドナーの末裔
Blademaster,ブレードマスター
Arbalest,アルバレスト
Warcat,ウォーキャット
Behemoth,ベヒーモス
Necromancer,ネクロマンサー
Risen Spearman,アンデッドスピアマン
Risen Soldier,アンデッドソルジャー
Risen Swordsman,アンデッドソードマン
Risen Archer,アンデッドアーチャー
Risen Warrior,アンデッドウォリアー
Risen Knight,アンデッドナイト
Risen Archmage,アンデッドアークメイジ
Queen of Dragons,ドラゴンクイーン
Oracle,オラクル
Field Cannon,フィールドキャノン
