ENGLISH,ENGLISH
Iron Mine,Mina de hierro
Gold Mine,Mina de oro
Gems Mine,Mina de gemas
Sunstone Mine,Mina de piedras solares
Obsidian Mine,Mina de obsidiana
Fort,Fuerte
Stables,Establos
Donari Temple,Templo de Donar
Kallenberg,Kallenberg
Edennes,Edennes
Grodaal,Grodaal
Eastwall,Muroriente
Marrenburg Castle,Castillo de Marrenburgo
Maubonne,Maubonne
Marche,Marche
Centurion's Rest Compound,Completo de Descanso del Centurión
Enmar,Enmar
Lothingen,Lotingen
Centurion's Rest,Descanso del Centurión
Granheim Abbey,Abadía de Granheim
Granheim Temple,Templo de Granheim
Lycia,Lycia
Fort Naxos,Fuerte Naxos
Hartbridge,Hartbridge
Conlingen,Conlingen
Donari Flagship,Buque de Donar
Donari Ship,Barco de Donar
Tidereaver Ship,Barco de los Cazamareas
Tidereaver Flagship,Buque de los Cazamareas
Lemelin Monastery,Monasterio de Lemelin
Greyden Slave Complex,Complejo de esclavos de Greyden
Moorsen,Moorsen
Auberlund,Auberlund
Port Herald,Puerto del Heraldo
Westerfield Fortress,Fortaleza de Campoeste
Lemelin Fortress,Fortaleza de Lemelin
Isanter Palace,Palacio de Isanter
Kusloda,Kusloda
Teutoberg,Teutoberg
Trucea,Trucea
Innsbruck,Innsbruck
Osterbach,Osterbach
Fort Findorian,Fuerte Findorian
Balcross,Balcross
Fort Eureeka,Fuerte Eureeka
Miletos,Miletos
Casamir's Base,Base de Casamir
Rimorgue,Rimorgue
Melmonde,Melmonde
Kalletos,Kalletos
Mytimia,Mytimia
Lucia,Lucia
Stormrook,Torre Tormenta
Westerfield,Campoeste
Imperial Sally Port,Puerto imperial de Sally
Tilrode,Tilrode
Signy,Signy
Rittenbach,Rittenbach
Tresilian,Tresilian
Embor,Embor
Eastwall Front Base,Base del frente de Muroriente
Eastwall Fortress,Fortaleza de Muroriente
Gorinheim,Gorinheim
New Grodaal,Nuevo Grodaal
"Felnamia Front Base,",Base del frente de Felnamia
"Nikeda,",Nikeda
Midglen,Midglen
Kritea,Kritea
Blackstone,Rocanegra
Sandraka Front Base,Base del frente de Sandraka
Macbay,Macala
Crestmoor,Anclaola
Greywind Shrine,Santuario de Vientogris
Greywind Lake,Lago de Vientogris
Ezrum,Ezrum
Fort Dakur,Fuerte Dakur
Qurmad,Qurmad
Reza,Reza
Dashun,Dashun
Sayunaa Palace,Palacio de Sayunaa
Nephilim Army Base,Base del Ejército Nefilim
Armitage,Armitage
Red Base,Base roja
Blue Base,Base azul
Fort Sairaa,Fuerte Sairaa
Sidaah,Cidaah
Dragon Egg,Huevo de dragón
Port Jenos,Puerto Jenos
Pyrocite Mine,Mina de pirocita
Bazaar,Bazar
Vinveil,Vinveil
Neubonne,Neubonne
Diana Front Base,Base del frente de Diana
Eberminster,Eberminster
Nikeda,Nikeda
Nikeda Redoubt,Refugio de Nikeda
Herstadt,Herstadt
Felnamia,Felnamia
Veringian,Veringian
Fitch Family Farm,Granja de los Fitch
Trapped Sayunaari,Sayunaari atrapado
Embor Palace,Palacio de Embor
Helios Master Archive,Archivo Maestro de Helios
Prison escape,Salida de la prisión
Jidah,Jidah
