ENGLISH,ENGLISH
Fighter,Luchador
Soldier,Soldado
Spearman,Lancero
Zweihander,Adalid
Champion,Campeón
Samurai,Samurái
Centurion,Centurión
Sentinel,Centinela
Cavalier,Jinete
Knight,Caballero
Paladin,Paladina
Valkyrie,Valquiria
Skirmisher,Duelista
Rogue,Pícaro
Ranger,Montaraz
Assassin,Asesino
Scout,Explorador
Hussar,Húsar
Bowman,Saetero
Archer,Arquero
Warbow,Arquero bélico
Horsebow,Arquero montado
Raider,Saqueador
Medic,Curandera
Priestess,Sacerdotisa
Templar,Gran templaria
Hospitaller,Hospitalaria
Apprentice,Aprendiz
Siren,Sirena
Fire Mage,Mago de fuego
Ice Mage,Mago de hielo
Lightning Mage,Mago de rayo
Sorceress,Hechicera
Dark Mage,Mago oscuro
Crossbowman,Ballestero
Gunner,Artillero
Dragoon,Arcabucero
Siege Cannon,Cañonero
Dragon,Dragón
Drakeling,Draco
Blue Dragon,Dragón azul
Silver Dragon,Dragón plateado
Red Dragon,Dragón rojo
Blue Dragon Rider,Dragonarca azul
Silver Dragon Rider,Dragonarca plateado
Red Dragon Rider,Dragonarca rojo
Captain,Líder
Lord,Lord
Azure King,Rey celeste
Exemplar,Paradigma
General,General
Archmage,Archimaga
Dark Knight,Caballero oscuro
Mercenary,Mercenario
Azure Dragon,Dragón celeste
Girl,Chica
Boy,Chico
Titan,Titán
Mirage,Espejismo
Dark God,Dios oscuro
Zanatus Arm,Brazo de Zanatus
Knight of Donar,Caballero de Donar
Militia,Miliciano
Swordfighter,Espadachina
Swordmaster,Esgrimidora
Acolyte,Acólita
Magician,Ilusionista
Magister,Augur
Adventurer,Aventurero
Nightblade,Asesino oscuro
Avatar of Donar,Avatar de Donar
Scion of Donar,Vástago de Donar
Blademaster,Gran espadachín
Arbalest,Arbaletero
Warcat,Gato guerrero
Behemoth,Bégimo
Necromancer,Nigromante
Risen Spearman,Lancero zombi
Risen Soldier,Soldado zombi
Risen Swordsman,Espadachín zombi
Risen Archer,Arquero zombi
Risen Warrior,Guerrero zombi
Risen Knight,Caballero zombi
Risen Archmage,Archimago zombi
Queen of Dragons,Reina de dragones
Oracle,Oráculo
Field Cannon,Cañonero de campo
