Devoa,Девоа
Lindly,Линдли
Antares,Антарес
Alexei,Алексей
Roland,Роланд
Lothair,Лотэр
Trihan,Трихан
Terenor,Теренор
Casamir,Казамир
Geoffrey,Джофри
Gwynneth,Гвинет
Kalytos,Калитос
Arm 1,Рука 1
Arm 2,Рука 2
Arm 3,Рука 3
Arm 4,Рука 4
Johan,Йохан
Mafu,Мафу
Nibbler,Кусака
Cloudrender Athelis,Афелис Гроза Облаков
"""A new age is upon us - and dragons will rule it from the skies!""",«Наступает новая эпоха — когда с небес будут править драконы!»
Lady Clarimonde,Леди Клермонд
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""",«Лучший предводитель — это покорный слуга. Именно такие свергают тиранов».
Kaffi the Curious,Каффи Любознательная
"""Oh, another bad guy? How would you like me to kill them all this time?""",«Опять какие-то негодяи? Какую смерть наслать на них в этот раз?»
The Outcast,Отшельник
"""If you will not have me, then you will die...""",«Кто не со мной... тот умрёт».
Lt. Archibald,Лейтенант Арчибальд
"""Those who cling to the past will be swallowed up by the future.""","«Если не сбросить груз прошлого, то вихрь будущего свалит с ног»."
Slayer Alphonse,Альфонс Рубака
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""","«Мне не страшны эти твари. Они хитры, но воевать не умеют»."
Renalyn Steelheart,Роналин Жестокосердная
"""I have nothing left but my blade. May it carve a new path for me.""",«В этом мире есть лишь я и мой меч. Им я прорубаю свой путь в жизни».
Konrad the Cold,Конрад Невозмутимый
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""","«Ну как, крутое у меня имя? И объяснять никому ничего не надо, с таким именем, верно?»"
Warlord Tatar,Татар Воитель
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""","«Я выжил в пустыне Саюна, меня никому не одолеть!»"
Sir Rolante,Сир Ролант
"""The lost noble souls of the past live within me.""",«Во мне живёт дух исконного дворянства».
Teriq the Wicked,Терик Нечестивый
"""Usually they beg for the sweet release of death.""",«Мои враги умоляют о смерти».
Matriarch Rosalie,Матриарх Розали
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""","«Народ Веридии, присоединяйтесь ко мне! Вместе мы очистим этот грешный мир от скверны!»"
Deadeye Domak,Домак Орлиный Глаз
"""Got another one.""",«И снова в цель».
Centhos the Muse,Центос Вдохновлённый
"""Words belie actions... always seek to pierce the veil to one`s true self.""","«Что на языке, то и на уме... Важно понимать истинную природу людей»."
Zeteni the Undying,Зетени Неумирающий
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""","«Нападение приносит победу в битвах. Защита приносит победу в войнах. А те, кто это понимают, правят миром»."
General Bizen,Генерал Бизен
"""I am not impressed by these firearms. Witness the true power of the marksman.""",«Из пушки стрелять много ума не надо. А вот овладеть луком — это настоящее искусство».
Cutthroat Klok,Клок Клинок
"""Fame is transient. Glory is meaningless. But wealth is joy.""",«Популярность приходит и уходит. Слава ничего не значит. Радость приносит лишь богатство».
Lord Carnith,Лорд Карнит
