ENGLISH,ZH-cn
Steel Arming Sword,骑士钢剑
A standard issue sword using the same design for the last Millenium used by Imperial armies.,帝国军队的制式剑，千年来一直沿袭相同的设计。
Elegant Blade,贵族之剑
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ",为维尔迪亚皇帝卡乌塞十三世所打造的一把精雕细琢的饰剑。
Flame Saber,烈焰之剑
A sword bearing a flame enchantment from the depths of Mount Karnac.,一把附有卡纳克山深处烈焰魔能的剑。
Steelshatter,斩钢之剑
An ancient blade made from a forgotten material designed to penetrate armor. ,一把设计用来穿透装甲的古剑，由某种被遗忘的材料制成。
Excalibur,王者之剑
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.",多纳尔圣殿在数个世纪之前模仿光明之怒而设计的神圣之剑。这把剑并未融入多纳尔的神圣之力，却蕴含着强大的魔能。
Sin Credo,罪恶信条
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.",一把神秘武器，能从持有者周遭汲取生机，并以此赋予持有者新的超自然能力。
Steel Greatsword,钢之大剑
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,帝国军队的制式大剑，千年来一直沿袭相同的设计。
Giant's Thresher,巨人的收获之镰
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,一支失落的巨人种族占据了这个已知世界的极西之地，他们的一些工具流传到了人类手里。
Kesh's Daikatana,凯什的武士之刃
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.",一把独特且优雅的长剑，由“玄武杀手”，即后来的凯什大师所设计。
Dragonslayer,屠龙宝剑
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ",一把附魔长剑，蕴含着龙母珥多魅拉之血的力量。
Balmung,圣刃·贝尔蒙格
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.",奉祭灵使，圣伊什塔尔所持圣剑。
Sayunaari War Pike,萨育纳长柄战枪
A tried and true staple of the venerated Sayunaari defense forces.,广受崇敬的萨育纳防御部队中久经考验的主力配置。
Crystal Lance,水晶之枪
A relic of the Donari Temple designed to counter dark magic.,多纳尔圣殿的遗物，用来对抗黑魔法。
Fang of Duros,杜洛斯之牙
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.","以传奇黑龙杜洛斯的一颗牙齿为核心打造的武器。
"
Eskandar's Karambit,艾斯坎达尔的爪刀
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.",一把带有铂金镀层的特制匕首，曾是兽人大酋长艾斯坎达尔的武器。
Obsidian Edge,黑曜石之锋
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,一把独一无二的刺客武器，被认为是噬浪海贼团某位创始人使用过的古老器具。
Zero Point Blade,零点之刃
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,古代天裔统治者为其精英武士打造的随身武器。
Acolyte's Mace,侍僧之锤
Standard-issue enchanted mace given to Temple Acolyte warriors.,圣殿侍僧配备的制式附魔战锤。
Crusader's Mace,十字军之锤
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,敷有黑曜石镀层的巨大武器，列装于多纳尔精锐圣骑士团。
Refuge,庇佑圣锤
A blessed hammer granting troops enhanced healing powers.,提升编队治疗能力的祝福之锤。
Guerilla Bow,游击之弓
A war-worn weapon proven to be highly accurate.,一把经过战争检验的高精度武器。
Trueshot Bow,狙灵之弓
"A magically-crafted bow, designed to give its arrows incredible accuracy.",一把由魔能锻造，以赋予其箭矢惊人准度的弓。
Ataraxia,寂灭之弓
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.",龙王杜洛斯的终结者罗蕾莱使用的千年古弓。
Heartseeker,猎心之弓
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,一把被未知黑暗能量附魔的弓，其箭矢极为致命。
Obsidian Arquebus,黑曜石火枪
"Specialized firearm developed from the exotic material, obsidian.",由异种材料黑曜石制成的特制火器。
Donari Staff,多纳尔之杖
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,慈悲修女会装配的制式长杖。
Blood Staff,血之长杖
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,汲取使用者生命力来换取惊人魔法力量的武器。
Apprentice Spellbook,学徒术法书
Standard issue magical guidebook wielded by Imperial Academy war mages.,帝国学院战争法师配备的制式魔法指南书。
Grandmaster Spellbook,宗师术法书
Decades of study allows a war mage to understand the powerful techniques within this book.,一名战斗法师要花费数十年时间才能理解这本书中的强大技艺。
Auraweave Cloak,织法披风
"An exsquisite cloak made from Auraweave, silk imbued with magic.",一件精美的披风，由蕴含魔能的织法纤维制成。
Cyrene's Regalia,西兰尼的圣袍
The divinely-enchanted uniform of the Avatar of Compassion.,悲悯灵使的圣化灵装。
Sergeant's Uniform,军士制服
Imperial Academy officer's uniform.,帝国学院军官的制服。
Officer's Regalia,士官制服
Higher echelons of Imperial military officers are granted this familiar uniform.,配发给帝国高层军官的军常服。
Scout's Gear,侦察兵装
Standard issue Imperial Light Infantry battle gear.,帝国轻步兵的制式战斗装备。
Guerilla Armor,游击之铠
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.",坚固的古兽人皮革盔甲，最适合丛林战。
Shinobi Gi,忍者束衣
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,这件束衣能让穿着者闪避许多即将到来的攻击，曾属于一位空鸟流大师。
Blademaster's Armor,剑圣之铠
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,这件大师级轻甲源自失落的空鸟文明，该文明形成于现在的西萨育纳一带。
Landis's Mirage,兰迪斯的奇迹披风
"Divine cloak of the master of Guile, Saint Landis.",诈欺之主，圣人兰迪斯的神圣披风。
Steel Plate Armor,钢制板甲
Standard issue Imperial Heavy Infantry battle gear.,帝国重步兵的制式战斗装备。
Donari Armor,多纳尔之铠
Battle armor worn by the order of Donari Paladins for centuries.,多纳尔圣骑士团几个世纪以来一直被装备的战甲。
Dragonscale Armor,龙鳞之铠
A steel full-plate battle armor adorned with the armored scales of a defeated dragon. ,饰有龙鳞的钢制全身板甲，龙鳞取自一条被打败的龙。
Imperial Battle Armor,帝国战甲
Modern design of steel heavy armor worn by elite Veridian warriors. ,菁英维尔迪亚勇士装备的钢制战甲，采用了当代的设计。
Obsidian Plate Armor,黑曜石板甲
"Full plate armor made from obsidian. Cumbersome, but offers incredible protection.",由黑曜石制成的全身板甲，笨重无比，但防御惊人。
St. Teresa's Tiara,圣特蕾莎的冠冕
"Tiara of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",圣特蕾莎活跃在克劳瑟皇朝末代、维尔迪亚王座纷争时期，是一名伟大的英雄。这是她的冠冕。
Hulking Pavise ,重型大盾
"A recently-created, large wall of steel designed to attempt to deflect the bullets from Firearms.",近期的新发明，一面高大的铁壁，旨在弹开从火器中射出的子弹。
Aldor's Tower Shield,奥尔多的塔盾
Massive shield made from obsidian. Was gifted to the Duke of Rimorgue before the times of the Aetherium Crisis.,黑曜石制成的巨盾，在以太危机发生前被赠给了里莫格公爵。
St. Teresa's Bulwark,圣特蕾莎的壁垒
"Shield of Saint Teresa, one of the great heroes of the events surrounding the succession crisis of the last Veridian Emperor of House Krauser.",圣特蕾莎活跃在克劳瑟皇朝末代、维尔迪亚时期，是一名伟大的英雄。这是她的盾牌。
Skull of Rowdain,罗迪恩之颅
"Long thought forgotten, this millennia-old artifact bears the latent energy of a powerful necromancer who once terrorized Tahnra.",时间过去了如此之久，久到人们似乎已经彻底遗忘，这件千年古物中潜藏着一位曾让整个塔恩拉为之恐惧的死灵法师的力量。
Puffin Feather Amulet,海雀羽护身符
"Amulet made from the venerated Puffin, a mainstay of Tahnra's fauna.",由塔恩拉世界大名鼎鼎的基石物种——冰海雀的羽毛制成的项链。
Ruby Ring,红玉戒指
Ring with a simple strength enchantment.,带有简单力量附魔的戒指。
Emerald Ring,翠玉戒指
Ring with a simple skill enchantment.,带有简单技能附魔的戒指。
Sapphire Ring,蓝玉戒指
Ring with a simple magic enchantment.,带有简单魔法附魔的戒指。
Ribbon,丝带
Several of these were created by an eccentric wizard. They protect the wearer from the binding effects of the Siren and the Sorceress's magic.,有些丝带是由一个古怪的巫师创造的，它们能使佩戴者免疫女巫和术师魔法的束缚效果。
Kesh's Toolkit,凯什的多面手
The Barek Tor War Chieftain Eskandar's special grappling hook crafted for him personally by Grandmaster Kesh.,兽人战争酋长艾斯坎达尔的特制抓钩，由凯什大师亲手为其打造。
Noisy Cricket,响鸣蟋蟀
The sound given off by these extraordinary creatures is indescribably irritating...,这帮非凡物种发出的声音真是说不出的烦人……
Boots of Tyranny,暴虐之靴
