ENGLISH,Russian
S-Soldiers...\| Attack!!\|\|\|\^,Б-бойцы...\| В атаку!!!\|\|\|\^
No...\| not you...\| It couldn't be...?\| The prophecy is unraveling...\| Uaaaaagggh!!!\|\|\^,Нет...\| только не ты...\| Быть того не может...\| Пророчество сбывается...\| Уа-а-а-а-агх!!!\|\|\^
Is it really...?\|\|\^,"Это что, правда?..\|\|\^"
"Yes.\| It's good to be back, Stefan.\|\|\|\|\^","Да.\| Я снова с вами, Стефан.\|\|\|\|\^"
Diana...,Диана...
"The mountain took her, \n[8]...","Гора забрала её жизнь, \n[8]..."
Please step aside.,Отойди-ка.
...\| \n[8]???\! Why do I see \n[8]...\| Have I perished...?,"...\| \n[8]???\! Откуда здесь \n[8]...\| Я что, мертва?.."
"Not quite.\! You're doing pretty well, you'll find.","Не совсем.\! Всё значительно лучше, чем ты думаешь."
"Stefan, stand over there.","Стефан, встань вон там."
"Uhhhh... okay, sure thing!","Э-э... ну ладно, хорошо!"
"What the...\| have you lost yer mind, \n[8]?!!  ...\| Wait a minute...","Какого...\| ты в своём уме, \n[8]?!  ...\| Минутку..."
Nice trick.\! You should probably do it again.,Неплохо.\! Попробуй так ещё раз.
"\n[8], I have questions...\| a chat, please?","\n[8], у меня столько вопросов...\| На пару слов, ага?"
"Have a little faith, eh?","Просто поверь, ладно?"
...\|H-Holy mackerel!,...\|О-охренеть же!
Stefan...\| we have been chosen...,Стефан...\| мы с тобой избранные...
"No more running, no more hiding.\! The lines are drawn and the enemy has played his hand.\! Casamir... the Nephilim have arrived, and we're coming for you.","Довольно бегать, довольно прятаться.\! Жребий брошен, и противник уже разыграл свои карты.\! Нефилимы прибыли, Казамир. Мы идём за тобой."
