Devoa,デボア
Lindly,リンドリー
Antares,アンタレス
Alexei,アレクセイ
Roland,ローランド
Lothair,ロザイア
Trihan,トライハン
Terenor,テレノール
Casamir,カサミール
Geoffrey,ジオフリー
Gwynneth,グウィネス
Kalytos,カリトス
Arm 1,腕1
Arm 2,腕2
Arm 3,腕3
Arm 4,腕4
Johan,ヨハン
Mafu,マフ
Nibbler,カミカミ
Cloudrender Athelis,雲を駆る者アセリス
"""A new age is upon us - and dragons will rule it from the skies!""",「新たなる時代がやってきた...それは、ドラゴンが空を支配する時代なり！」
Lady Clarimonde,クラリモンド婦人
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""",「究極の指導者は究極の奉仕者であり、暴君に偉大なる勝利を収める」
Kaffi the Curious,天衣無縫のカッフィ
"""Oh, another bad guy? How would you like me to kill them all this time?""",「悪者が出たって？ふーん、じゃあ殺せばいいんでしょ？」
The Outcast,例の追放者
"""If you will not have me, then you will die...""",「俺を殺す気がないなら、お前を殺すぜ...」
Lt. Archibald,アーチバルド隊長
"""Those who cling to the past will be swallowed up by the future.""",「過去に執着する者は、未来に飲み込まれる」
Slayer Alphonse,剣聖アルフォンス
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""",「どんな野獣も恐ろしくはない。例えやつらに知恵があろうとも、戦争の何たるかを理解していないからだ」
Renalyn Steelheart,鋼の心臓レナリン
"""I have nothing left but my blade. May it carve a new path for me.""",「私にはこの剣しかない。これだけで己の道を切り拓くの」
Konrad the Cold,クールなコンラッド
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""",「よお、クールな二つ名だろう！？名は体を表すとはよく言ったもんだぜ」
Warlord Tatar,軍師タタール
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""",「サユナーの砂漠すら我が命を奪えなかった。ならばどうしてお前たちに奪えようか！」
Sir Rolante,ロランテ卿
"""The lost noble souls of the past live within me.""",「古の高貴なる魂、我のうちにあり」
Teriq the Wicked,堕落者タリク
"""Usually they beg for the sweet release of death.""",「我が獲物は命乞いではなく、安楽なる死を求めてくる」
Matriarch Rosalie,女族長ロザリー
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""",「ベリディアの者たちよ、この堕落しきった世界から汚物と罪を一掃しよう！」
Deadeye Domak,死んだ目のドマック
"""Got another one.""",「またつまらぬ者を殺してしまった」
Centhos the Muse,瞑想者センソス
"""Words belie actions... always seek to pierce the veil to one`s true self.""",「言葉は行動を裏切る...常に真の自分のベールを突き破ろうとする」
Zeteni the Undying,不死身のゼテニ
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""",「攻める者、戦闘を制す。守る者、戦争を制す。これを解する者、世界を制す」
General Bizen,ビゼン将軍
"""I am not impressed by these firearms. Witness the true power of the marksman.""",「重火器など恐るるに足らず。我が弓の威力を見るがよい」
Cutthroat Klok,賞金稼ぎクロック
"""Fame is transient. Glory is meaningless. But wealth is joy.""",「名声は儚きもの。栄光は無意味。富こそが喜びなり」
Lord Carnith,カーニス卿
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""",「先祖がそうしたように、私はベリディアの未来を守る...それがどのようなものだとしても」
Calvor the Tireless,不屈のカルヴァー
"""If we do this right, we wont even need cumbersome armor.""",「すべてをうまくやれば、かさばる鎧などいらないのだよ」
Philbert,フィルバート
Paul,ポール
Terric,テリック
Hough,ハフ
Rainer,レイナー
Richard,リチャード
Peter,ピーター
Gerald,ジェラルド
Rauf,ラウフ
Norman,ノーマン
Elye,エルイ
Hal,ハル
Amaury,アマーリー
Humphrey,ハンフリー
Milon,ミロン
Bert,バート
Christopher,クリストファー
Simon,サイモン
Drewett,ドリューエット
Wyat,ワイアット
Armond,アーモンド
Edmund,エドモンド
Ludvig,ルドウィグ
Robert,ロバート
Thomas,トーマス
Hadrian,ヘイドリアン
Batholemew,バーソロミュー
Emeric,エメリック
Ingraham,イングラハム
Bernier,バーニアー
Balan,バラン
Wiscar,ウィスカー
Isaac,アイザック
Powell,パウエル
Folc,フォルク
