ENGLISH,FRENCH
Fighter,Chasseur
Soldier,Soldat
Spearman,Lancier
Zweihander,Chevalier
Champion,Champion
Samurai,Samurai
Centurion,Centurion
Sentinel,Sentinelle
Cavalier,Cavalier
Knight,Chevalier
Paladin,Paladin
Valkyrie,Valkyrie
Skirmisher,Tirailleur
Rogue,Voleur
Ranger,Ranger
Assassin,Assassin
Scout,Éclaireur
Hussar,Hussard
Bowman,Tireur
Archer,Archer
Warbow,Archer de guerre
Horsebow,Archer monté
Raider,Pilleur
Medic,Médecin
Priestess,Prêtresse
Templar,Templier
Hospitaller,Soigneur
Apprentice,Apprenti
Siren,Sirène
Fire Mage,Mage de feu
Ice Mage,Mage de glace
Lightning Mage,Mage de foudre
Sorceress,Sorcière
Dark Mage,Mage Noir
Crossbowman,Arbalétrier
Gunner,Fusilleur
Dragoon,Artilleur
Siege Cannon,Canonnier
Dragon,Dragon
Drakeling,Dragonneau
Blue Dragon,Dragon bleu
Silver Dragon,Dragon d'argent
Red Dragon,Dragon rouge
Blue Dragon Rider,Dragonnier bleu
Silver Dragon Rider,Dragonnier d'argent
Red Dragon Rider,Dragonnier rouge
Captain,Capitaine
Lord,Seigneur
Azure King,Roi d'Azur
Exemplar,Exemplaire
General,Général
Archmage,Archimage
Dark Knight,Chevalier Noir
Mercenary,Mercenaire
Azure Dragon,Dragon d'azur
Girl,Fille
Boy,Garçon
Titan,Titan
Mirage,Mirage
Dark God,Dieu des ténèbres
Zanatus Arm,Bras de Zanatus
Knight of Donar,Chevalier de Donar
Militia,Milice
Swordfighter,Épéiste
Swordmaster,Maître d'épée
Acolyte,Acolyte
Magician,Magicien
Magister,Magister
Adventurer,Aventurier
Nightblade,Lame nocturne
Avatar of Donar,Avatar de Donar
Scion of Donar,Descendant de Donar
Blademaster,Maître de lame
Arbalest,Arbalest
Warcat,Chat guerrier
Behemoth,Béhémoth
Necromancer,Nécromancien
Risen Spearman,Lancier ressuscité
Risen Soldier,Soldat ressuscité
Risen Swordsman,Épéiste ressuscité
Risen Archer,Archer ressuscité
Risen Warrior,Guerrier ressuscité
Risen Knight,Chevalier ressuscité
Risen Archmage,Archimage ressuscité
Queen of Dragons,Reine des Dragons
Oracle,Oracle
Field Cannon,Canonnier de Campagne
