ENGLISH,KOREAN
Steel Arming Sword,강철 군용 검
A standard issue sword using the same design for the last Millenium used by Imperial armies.,지난 천년기간 제국군이 사용해온 동일한 형태의 표준 규격 한손검.
Elegant Blade,우아한 검
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ",베리디아의 황제 크라우저 13세를 위해 정교하게 만든 의식용 검. 
Flame Saber,화염 세이버
A sword bearing a flame enchantment from the depths of Mount Karnac.,카르낙 산 깊은 곳에서 얻은 불꽃 마법이 담긴 검.
Steelshatter,강철분쇄기
An ancient blade made from a forgotten material designed to penetrate armor. ,이제는 잊혀진 재료로 만든 갑옷을 관통하게끔 설계된 고대의 검. 
Excalibur,엑스칼리버
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.","수백 년 전 도나리교에서 라이트퓨리를 본따 만든 신성한 검. 도나르의 신성한 힘이 깃들지 않았음에도, 이 검은 특별한 마법의 힘을 담고 있습니다."
Sin Credo,신 크레도
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.","주위에서 활력을 빨아들여 주인에게 불어넣는 신비한 무기로, 사용자에게 기이한 새로운 능력을 부여합니다."
Steel Greatsword,강철 대검
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,지난 천년기간 제국군이 사용해온 동일한 형태의 표준 규격 대검.
Giant's Thresher,거인의 대낫
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,이제는 사라져버린 거인족은 한때 알려진 세계의 서쪽 극단에 살았습니다. 그들의 도구 중 일부가 인간의 땅으로 흘러들어왔습니다.
Kesh's Daikatana,케시의 다이카타나
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.",작고한 ‘겐부 처치자’ 마스터 케시가 설계한 독특하고 우아한 장검.
Dragonslayer,용살검
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ",용족의 어머니 아도리메트라의 피에서 온 마법을 담고 있는 장검. 
Balmung,발뭉
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.","희생의 네필림 화신, 성 이슈타르의 신성한 검."
Sayunaari War Pike,사유나 장창 
A tried and true staple of the venerated Sayunaari defense forces.,존경 받는 사유나 방위군의 검증된 필수품.
Crystal Lance,수정 창
A relic of the Donari Temple designed to counter dark magic.,흑마법을 상대하기 위해 설계된 도나리교의 유물.
Fang of Duros,듀로스의 송곳니
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.",전설적인 블랙 용 듀로스에게서 회수된 송곳니를 기반으로 만든 무기.
Eskandar's Karambit,에스칸다르의 카람빗
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.","바렉 토르의 대추장, 에스칸다르가 사용하던 백금으로 도금된 특수 단검."
Obsidian Edge,흑요석 단검
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,"타이드리버 해적단의 창립자 중 하나가 사용한, 고대의 도구로 추측되는 유일무이한 암살자의 단검."
Zero Point Blade,제로 포인트 블레이드
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,고대 스카이본 자치령은 이 유물을 전사 귀족 계층의 보조 무기로 개발하였습니다.
Acolyte's Mace,견습 성기사의 철퇴
Standard-issue enchanted mace given to Temple Acolyte warriors.,도나리교 견습 성기사들에게 주어지는 표준형 마법 부여 철퇴.
Crusader's Mace,십자군 철퇴
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,정예 도나리교 성기사단이 다루던 흑요석을 입힌 거대한 무기.
Refuge,피난처
A blessed hammer granting troops enhanced healing powers.,병사들에게 강화된 치유력을 내리는 축복 받은 망치.
Guerilla Bow,유격대 활
A war-worn weapon proven to be highly accurate.,고도의 정확성이 입증된 전쟁용 무기.
Trueshot Bow,필중의 활
"A magically-crafted bow, designed to give its arrows incredible accuracy.","마법으로 제조된 활로, 화살에 놀라운 정확성을 부여하도록 설계되었습니다."
Ataraxia,열반
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.",용족의 왕 듀로스를 무찌른 로렐라이가 사용하던 천년 된 활.
Heartseeker,심장추적자
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,알 수 없는 어둠의 기운이 담긴 활로 그 화살은 극히 치명적입니다.
Obsidian Arquebus,흑요석 화승총
"Specialized firearm developed from the exotic material, obsidian.",이국적인 재료 흑요석으로 만든 특수 화기.
Donari Staff,도나리교 지팡이
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,자비의 자매회가 사용하는 표준형 마법 지팡이.
Blood Staff,피의 지팡이
A weapon that draws upon the wielder's own life force to grant them incredible magic power.,주인의 생명력을 끌어내어 놀라운 마력을 부여하는 무기.
Apprentice Spellbook,견습생의 마법책
Standard issue magical guidebook wielded by Imperial Academy war mages.,제국 사관학교 출신 전투 마법사들이 사용하는 표준형 마법 가이드북.
Grandmaster Spellbook,대사제의 마법서
Decades of study allows a war mage to understand the powerful techniques within this book.,수십 년간의 연구를 거친 전투 마법사는 이 책에 담긴 강력한 기술들을 이해하게 됩니다.
Auraweave Cloak,오라위브 망토
"An exsquisite cloak made from Auraweave, silk imbued with magic.",마법이 깃든 비단인 오라위브로 만든 정교한 망토.
Cyrene's Regalia,사이린의 예복
The divinely-enchanted uniform of the Avatar of Compassion.,긍휼의 화신이 입는 신성이 깃든 제복.
Sergeant's Uniform,하급 장교 제복
Imperial Academy officer's uniform.,제국 사관학교 장교의 제복.
Officer's Regalia,고급 장교 예복
Higher echelons of Imperial military officers are granted this familiar uniform.,제국군 고위 장교들은 이 익숙한 제복을 받습니다.
Scout's Gear,정찰병의 장비
Standard issue Imperial Light Infantry battle gear.,제국군 경보병의 표준형 전투 장비.
Guerilla Armor,유격대 방어구
"Rugged leather armor of an ancient Barek Tor design, optimal for jungle combat.","고대 바렉 토르 설계의 투박한 가죽 방어구로, 정글 전투에 최적입니다."
Shinobi Gi,시노비 도복
The garb of a master of the Caladori Arts allowing the wielder to dodge many incoming attacks.,"칼라도리 류 달인의 옷으로, 착용하면 많은 공격을 피할 수 있습니다."
Blademaster's Armor,블레이드마스터 갑옷
Mastercraft lamellar-plated armor from the new extinct Caladori civilization that occupied what is now known as Western Sayunaa.,"현재 서부 사유나로 알려진, 이제는 멸종된 칼라도리 문명권에서 찾은 장인의 찰갑."
Landis's Mirage,란디스의 신기루
"Divine cloak of the master of Guile, Saint Landis.",간계의 대가 성 란디스의 신성한 망토.
Steel Plate Armor,강철 판금 갑옷
Standard issue Imperial Heavy Infantry battle gear.,제국군 중보병의 표준형 전투 장비.
Donari Armor,도나리교 갑옷
Battle armor worn by the order of Donari Paladins for centuries.,도나리교 성기사들이 수 세기 동안 입어 온 전투 갑옷.
Dragonscale Armor,용 비늘 갑옷
