"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.","\c[1]Сегодня армия Аватара Донара одержала победу. Удалось избежать ужасного исхода, и теперь мой род сможет продолжаться."
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?","Они сражались на славу. Впервые вижу, чтобы армии Архаилуса сражались настолько остервенело. Чего они хотели, дракон?"
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.","\c[1]Человеческая жизнь очень коротка. Но не моя жизнь. И не жизнь силы, пытающейся уничтожить Аватара Донара.\! Вне времени существует Тёмный. Тот, что не является частью мироздания Танры."
Zanatus.,Занатус.
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.","\c[1]Тот, что не часть Танры, видит мир совсем иначе, чем дано понять за одну человеческую жизнь.\! Империя под названием Архаилус, войско под названием армия нефилимов. Для Тёмного всё это — лишь мимолётное дуновение ветра.\! Его планы охватывают тысячелетия. Столько, сколько длится его жизнь. И моя жизнь."
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?","Да-да, мы всё это уже поняли. И в чём конкретно заключаются его планы? Которые мне столь очевидно не дано понять."
So...,Ну...
"Dear Azuros, please trust \n[8] with your wisdom!","Дорогой Азурос, пожалуйста, доверься нам. \n[8] хочет лишь добра!"
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...","\c[1]Адориметра Золотая. Матерь всех нас. Мать Азуроса.\! Первая дочь Донара после сотворения Танры. Первая пробуждённая после того, как бог мироздания пробудил этот мир.\! Аватар — порождение Донара, а Азурос — порождение матери драконов.\! Но Тёмный — не порождение этого мира. Он не потомок Донара. Он чума.\! За свою короткую жизнь люди должны бороться с Занатусом, всячески мешать ему. Это их миссия.\! Необходимо уничтожить его тело, его последователей, и в первую очередь его слова. Слова, которыми он наполнил язык смертных, населяющих Танру. Эти слова приведут к погибели всего .\! Слова, природу которых не по силам понять даже Азуросу..."
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?","«Чума». Интересное слово ты выбрал, Азурос. Из остального понятно, что всё на свете создала какая-то великая сила.\! Тебя, меня, Абигейл, магию, которая вернула меня к жизни... и вообще всё живое, включая даже Казамира, наверное. Всё, кроме Занатуса.\! Ты можешь объяснить, что же он тогда из себя представляет?"
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!","Прости, \n[8], но «дорогой Азурос» уже рассказал всё, что было ему известно. Я чувствую в его душе огромную печаль. Он знает чуть ли не всё обо всём, и оттого непонимание сущности Занатуса огорчает его тем сильнее!"
\c[1]Abigayle.,\c[1]Абигейл.
"Yes, Dear Azuros?","Да, дорогой Азурос?"
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.","\c[1]Со мной говорил тот, которого вы зовёте Кусакой. Он очень просил помочь Абигейл. Я выполню просьбу этого юного дракона.\! В древние времена существовала так называемая «Королева драконов». И теперь в Танре появится новая такая королева.\! Королева драконов Абигейл. Сила драконов отныне в твоём распоряжении."
Queen of Dragons...?,Королева драконов?..
"It's a little on the nose if you ask me, but hey, might as well make it official.","Думаю, ты и так ими неплохо так командовала, а теперь всё будет вообще официально."
"\c[1]Abigayle can now become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider. Access this new class in the Class Change menu.",\c[1]Теперь Абигейл может превратиться в «Королеву драконов». Это мощный юнит нового типа — драконий всадник. Выполнить превращение можно в меню «Сменить класс».
