ENGLISH,PORTUGUÊS (BRASIL)
Fighter,Lutador
Soldier,Soldado
Spearman,Lanceiro
Zweihander,Zweihander
Champion,Campeão
Samurai,Samurai
Centurion,Centurião
Sentinel,Sentinela
Cavalier,Montaria
Knight,Cavaleiro
Paladin,Paladino
Valkyrie,Valquíria
Skirmisher,Escaramuçador
Rogue,Ladino
Ranger,Sentinela
Assassin,Assassino
Scout,Batedor
Hussar,Hussardo
Bowman,Arqueirito
Archer,Arqueiro
Warbow,Arqueiro de guerra
Horsebow,Arqueiro de montaria
Raider,Corsário
Medic,Médico
Priestess,Sacerdotisa
Templar,Templário
Hospitaller,Hospitalária
Apprentice,Aprendiz
Siren,Sirene
Fire Mage,Mago de fogo
Ice Mage,Mago de gelo
Lightning Mage,Mago de trovão
Sorceress,Feiticeira
Dark Mage,Mago sombrio
Crossbowman,Besteiro
Gunner,Artilheiro
Dragoon,Artilheiro de montaria
Siege Cannon,Canhão de cerco
Dragon,Dragão
Drakeling,Dragonito
Blue Dragon,Dragão azul
Silver Dragon,Dragão prata
Red Dragon,Dragão vermelho
Blue Dragon Rider,Cavaleiro de dragão azul
Silver Dragon Rider,Cavaleiro de dragão prata
Red Dragon Rider,Cavaleiro de dragão vermelho
Captain,Capitão
Lord,Lorde
Azure King,Rei Azure
Exemplar,Exemplar
General,General
Archmage,Arquimago
Dark Knight,Cavaleiro sombrio
Mercenary,Mercenário
Azure Dragon,Dragão azure
Girl,Menina
Boy,Menino
Titan,Titã
Mirage,Miragem
Dark God,Deus Sombrio
Zanatus Arm,Braço de Zanatus
Knight of Donar,Cavaleiro de Donar
Militia,Milícia
Swordfighter,Espadachim
Swordmaster,Mestra espadachim
Acolyte,Acolita
Magician,Feiticeiro
Magister,Magistrado
Adventurer,Aventureiro
Nightblade,Noctoespadachim
Avatar of Donar,Avatar de Donar
Scion of Donar,Herdeiro de Donar
Blademaster,Mestre das lâminas
Arbalest,Besta
Warcat,Gato-de-guerra
Behemoth,Beemote
Necromancer,Necromante
Risen Spearman,Lanceiro ressuscitado
Risen Soldier,Soldado ressuscitado
Risen Swordsman,Espadachim ressuscitado
Risen Archer,Arqueiro ressuscitado
Risen Warrior,Guerreiro ressuscitado
Risen Knight,Cavaleiro ressuscitado
Risen Archmage,Arquimago ressuscitado
Queen of Dragons,Rainha dos Dragões
Oracle,Oráculo
Field Cannon,Canhão de campo
