ENGLISH,ZH-cn
him/her,他/她
Him/Her,他/她
his/hers,他的/她的
His/Hers,他的/她的
he/she,他/她
He/She,他/她
Kuroda,黑田
Protagonist,主人公
Zelos,泽洛斯
Jules,朱尔斯
Sybil,茜比尔
Barnabas,巴纳巴斯
Diana,戴安娜
Stefan,斯泰凡
Abigayle,阿比盖尔
Narima,娜瑞玛
Raskuja,拉斯库亚
Lysander,莱森德
Jaromir,贾洛米
Beatrix,碧翠丝
Edelia,伊迪莉娅
Hand of Zanatus,扎纳图斯之手
Kuroda,黑田
herself/himself,她自己/他自己
Herself/Himself,她自己/他自己
his/her,他的/她的
His/Her,他的/她的
P.M. Casamir,首相卡萨米尔
General Antares,安塔瑞斯将军
Empress Florina,芙洛里娜女皇
Emp. Casamir,卡萨米尔皇帝
Boy/Girl,男孩/女孩
boy/girl,男孩/女孩
Man/Woman,男人/女人
man/woman,男人/女人
Fighter,勇士
Bowman,射手
Medic,医疗兵
Soldier,士兵
Spearman,矛兵
Archer,弓兵
Rogue,盗贼
Priestess,女祭司
Apprentice,学徒
Sentinel,卫兵
Zweihander,双手剑士
Halberdier,戟兵
Crossbowman,弩手
Assassin,刺客
Paladin,圣骑士
Templar,圣疗者
Siren,女巫
Battlemage,战斗法师
Dark Mage,暗法师
Champion,冠军剑士
Hoplite,装甲步兵
Green Drakeling,绿幼龙
Blue Drakeling,蓝幼龙
Silver Drakeling,银幼龙
Red Drakeling,红幼龙
Gold Drakeling,金幼龙
Black Drakeling,黑幼龙
Green Dragon,绿龙
Blue Dragon,蓝龙
Silver Dragon,银龙
Red Dragon,红龙
Gold Dragon,金龙
Black Dragon,黑龙
Zanatus,扎纳图斯
Zanatus Hand,扎纳图斯之手
Chef,主厨
Man,男人
Woman,女人
Scout,斥候
Donari Priest,多纳尔牧师
Donari Paladin,多纳尔圣骑士
Commander Trihan,特里罕指挥官
Zanatus Mage,扎纳图斯法师
Alex,艾利克斯
Duke Lothair,洛泰尔公爵
Duke Terenor,特瑞诺公爵
Minister Harold,大臣哈罗德
General Albert,艾伯特将军
Hooded Figure,戴帽子的人
Jebediah,耶比底亚
Cyrus,塞鲁士
Child,孩童
Imperial Soldier,帝国士兵
Grandmaster Oxley,欧克斯利圣宗
Emperor Zelos,皇帝泽洛斯
Imperial Minister,帝国大臣
Wolfgar,沃尔夫加
Isanter Commander,伊桑特指挥官
Rimorgue Commander,里莫格指挥官
Dragon Rider,龙骑士
Prison Guard,监狱守卫
General Narima,娜瑞玛将军
King Jules,朱尔斯王
Lieutenant,中尉
General Trihan,特里罕将军
Randolf,兰道夫
General Ragavi,拉加维将军
Imperial Officer,帝国官员
Imperial Cadet,帝国军校生
Pendergast,潘德加斯特
Father,父亲
Mother,母亲
Siege Commander,攻城指挥官
Klaus,克劳斯
Dirk,德克
Temple Guard,圣殿守卫
Donari Pilgrim,多纳尔朝圣者
Captain Antares,安塔瑞斯队长
Cadet Barnabas,军校生巴纳巴斯
Florina,芙洛里娜
Lord Godfrey,戈弗雷勋爵
Duke Rostam,罗斯塔姆公爵
Razehl,拉泽尔
Azuros,阿祖罗斯
Tidereaver Marauder,噬浪团掠夺者
