ENGLISH,JAPANESE
Steel Arming Sword,鋼の剣
A standard issue sword using the same design for the last Millenium used by Imperial armies.,帝国軍が長年採用しているごく平凡な剣。
Elegant Blade,エレガントブレード
"An exsquisitely-crafted ceremonial tuck, made for Veridian Emperor Krauser XIII. ",ベリディア皇帝クラウザー13世のために作られた、精巧な儀式用の長剣。
Flame Saber,炎の剣
A sword bearing a flame enchantment from the depths of Mount Karnac.,カルナック山の奥深くから湧き出る炎の魔法が込められた剣。
Steelshatter,鉄砕き
An ancient blade made from a forgotten material designed to penetrate armor. ,鎧を貫通するように設計された、失われた素材から作られた古代の剣。
Excalibur,エクスカリバー
"A holy blade designed by the Donari Temple centuries ago to be a likeness of Lightfury. While not infused with Donar's divine power, the sword bears extraordinary magical enchantments.",何世紀もの昔に、ドナー神殿がライトフューリーに似せて設計した聖なる剣。ドナーの神聖な力は注入されていないものの、並外れた魔法の力が宿っている。
Sin Credo,シンクレド
"A mysterious weapon that draws vitality to the user from its surroundings, granting the user unnatural new abilities.",周囲から生命力を吸収し、不思議な能力を付与する謎の武器。
Steel Greatsword,鋼の大剣
A standard issue longsword using the same design for the last Millenium used by Imperial armies.,帝国軍が長年採用しているごく平凡な長剣。
Giant's Thresher,巨人の剣
A lost race of Giants occupy the extreme Western edges of the known world. Some of their tools have made it to human lands.,失われた巨人族は、西の最果てに住んでいるという。そして、時折人間の世界へその道具が流れ着くことがあるらしい。
Kesh's Daikatana,ケシュの大刀
"A unique, elegant longsword designed by the ""Slayer of Genbu"", the late Master Kesh.",「玄武殺し」の異名を取る名匠ケシュがデザインした、ユニークかつエレガントな刀。
Dragonslayer,ドラゴンスレイヤー
"A longsword bearing an enchantment derived from the blood of Adorimetra, Mother of Dragons. ",竜母アドリメトラの魔力が込められた長剣。
Balmung,バルムング
"The divine blade of Saint Ishtar, Nephilim Avatar of Sacrifice.",犠牲の化身であるネフィリム、聖イシュタルの神剣。
Sayunaari War Pike,サユナーの矛
A tried and true staple of the venerated Sayunaari defense forces.,武勇名高いサユナー軍の定番の武器。
Crystal Lance,水晶の槍
A relic of the Donari Temple designed to counter dark magic.,黒魔術に対抗するために設計されたドナー神殿の遺物。
Fang of Duros,デュロスの牙
"A weapon built around a fang recovered from the legendary Black Dragon, Duros.",伝説の黒竜デュロスの牙を元に作られた武器。
Eskandar's Karambit,大酋長のカランビット
"A platina-plated specialized dagger wielded by the Great Chieftain of the Barek Tor, Eskandar.",バレクトールの大酋長イスカンダルが愛用していた、プラチナメッキが施されたダガー。
Obsidian Edge,黒曜石のナイフ
A one-of-a-kind assassin's knife thought to be an ancient tool used by one of the founding members of the Tidereaver Pirates.,タイドリーバー海賊団の創設メンバーの一人が大昔に使っていたという、唯一無二の暗殺ナイフ。
Zero Point Blade,ゼロポイント・ブレード
The ancient Skyborn Dominion developed these as a sidearm for its warrior elite.,古のスカイボーン・ドミニオンは、エリート兵の予備の武器としてこれを開発した。
Acolyte's Mace,アコライトのメイス
Standard-issue enchanted mace given to Temple Acolyte warriors.,神殿アコライトに与えられる、平凡な魔法のメイス。
Crusader's Mace,騎士のメイス
A massive weapon plated with obsidian wielded by the elite Donari Paladin order.,ドナー騎士団のエリート兵が使用する、黒曜石のメッキを施した巨大な武器。
Refuge,レフュージ
A blessed hammer granting troops enhanced healing powers.,部隊に強力な治癒力を授ける、神の祝福を受けたハンマー。
Guerilla Bow,野戦の弓
A war-worn weapon proven to be highly accurate.,精度の高さが評判の弓。
Trueshot Bow,百中の弓
"A magically-crafted bow, designed to give its arrows incredible accuracy.",魔力のかかった弓。それから放たれる矢は驚異的な精度を誇る。
Ataraxia,アタラクシア
"Millenia-old bow wielded by Lorelai, slayer of Duros, King of Dragons.",竜王デュロスを倒した勇者ローレライが使ったという、数千年前の弓。
Heartseeker,ハートシーカー
A bow enchanted with unknown dark energies whose arrows are extremely deadly.,未知の闇エネルギーを帯びた弓。その威力はまさに致命的だ。
Obsidian Arquebus,黒曜石の火縄銃
"Specialized firearm developed from the exotic material, obsidian.",異国の素材である黒曜石から作られた特殊な鉄砲。
Donari Staff,ドナーの杖
Standard issue enchanted staff wielded by the Sisterhood of Mercy.,「慈悲の姉妹」が使用する、平凡な魔法の杖。
