English,French
him,lui
Him,Lui
his,son
His,Son
he,il
He,Il
himself,lui-même
Himself,Lui-même
Boy,Garçon
boy,garçon
Man,Homme
man,homme
King,Roi
king,roi
Emperor,Empereur
emperor,empereur
God,Dieu
god,dieu
her,son
Her,Son
hers,la sienne
Hers,La sienne
she,elle
She,Elle
herself,elle-même
Herself,Elle-même
Girl,Fille
girl,fille
Woman,Femme
woman,femme
"\c[1]       Year 972, Armitage, Capital city of the Empire of Veridia\|\|\|\|\|\^","\c[1]       Année 972, Armitage, Capitale de l'Empire de Veridia\|\|\|\|\| \^"
