ENGLISH,PORTUGUÊS (BRASIL)
Iron Mine,Mina de ferro
Gold Mine,Mina de ouro
Gems Mine,Mina de gemas
Sunstone Mine,Mina de pedras do sol
Obsidian Mine,Mina de obsidianas
Fort,Forte
Stables,Estábulos
Donari Temple,Templo Donari
Kallenberg,Kallenberg
Edennes,Edennes
Grodaal,Grodaal
Eastwall,Muralheste
Marrenburg Castle,Castelo de Marrenburgo
Maubonne,Maubonne
Marche,Marche
Centurion's Rest Compound,Núcleo do Abrigo do Centurião
Enmar,Enmar
Lothingen,Lothingen
Centurion's Rest,Abrigo do Centurião
Granheim Abbey,Abadia de Granheim
Granheim Temple,Templo de Granheim
Lycia,Lycia
Fort Naxos,Forte Naxos
Hartbridge,Cervoponte
Conlingen,Conlingen
Donari Flagship,Capitânia Donari
Donari Ship,Navio Donari
Tidereaver Ship,Navio Saquemar
Tidereaver Flagship,Capitânia Saquemar
Lemelin Monastery,Mosteiro de Lemelin
Greyden Slave Complex,Complexo de escravos de Covilgris
Moorsen,Atracais
Auberlund,Auberlund
Port Herald,Porto Arauto
Westerfield Fortress,Fortaleza de Campocidental
Lemelin Fortress,Fortaleza de Lemelin
Isanter Palace,Palácio de Isanter
Kusloda,Kusloda
Teutoberg,Teutoburgo
Trucea,Trucea
Innsbruck,Innsbruck
Osterbach,Osterbach
Fort Findorian,Forte Findorian
Balcross,Balcross
Fort Eureeka,Forte Eureka
Miletos,Miletos
Casamir's Base,Base de Casamir
Rimorgue,Rimorgue
Melmonde,Melmonde
Kalletos,Kalletos
Mytimia,Mytimia
Lucia,Lucia
Stormrook,Torre-tempesta
Westerfield,Campocidental
Imperial Sally Port,Porto de Saída Imperial
Tilrode,Tilrode
Signy,Signy
Rittenbach,Rittenbach
Tresilian,Tresilian
Embor,Embor
Eastwall Front Base,Base do Fronte de Muralheste
Eastwall Fortress,Fortaleza de Muralheste
Gorinheim,Gorinheim
New Grodaal,Nova Grodaal
"Felnamia Front Base,","Base do Fronte de Felnamia,"
"Nikeda,","Nikeda,"
Midglen,Midglen
Kritea,Kritea
Blackstone,Pedrobscura
Sandraka Front Base,Base do Fronte de Sandraka
Macbay,Macbaía
Crestmoor,Charcocrista
Greywind Shrine,Santuário de Vendagris
Greywind Lake,Lago de Vendagris
Ezrum,Ezrum
Fort Dakur,Forte Dakur
Qurmad,Qurmad
Reza,Reza
Dashun,Dashun
Sayunaa Palace,Palácio de Sayunaa
Nephilim Army Base,Base do Exército Nephilim
Armitage,Armitage
Red Base,Base Vermelha
Blue Base,Base Azul
Fort Sairaa,Forte Sairaa
Sidaah,Sidaah
Dragon Egg,Ovo de Dragão
Port Jenos,Porto Jenos
Pyrocite Mine,Mina de pirocita
Bazaar,Bazar
Vinveil,Vinveil
Neubonne,Neubonne
Diana Front Base,Base do Fronte de Diana
Eberminster,Eberminster
Nikeda,Nikeda
Nikeda Redoubt,Reduto Nikeda
Herstadt,Herstadt
Felnamia,Felnamia
Veringian,Veringiano
Fitch Family Farm,Fazenda da Família Fitch
Trapped Sayunaari,Sayunaari preso
Embor Palace,Palácio de Embor
Helios Master Archive,Arquivo principal de Helios
Prison escape,Fuga da prisão
Jidah,Jidah
