"\c[1]The Avatar of Donar's army is victorious today. The catastrophe has been avoided, the brood continuity of my kin is protected.","\c[1]O exército do Avatar de Donar saiu vitorioso hoje. A catástrofe foi evitada, a continuidade da prole do meu clã está protegida."
"Those boys were no joke. I've never seen the Archaelus armies fight with such fervor. What gives, dragon?","Aqueles garotos não eram brincadeira. Nunca vi os exércitos de Archaelus lutarem com tanto fervor. O que tá acontecendo, dragão?"
"\c[1]Brief is the timeline of a human's life. Not brief is mine. Also not brief is the timeline of the forces arrayed against the Avatar of Donar.\! Ageless, is the dark one. The one not of the essence of Tahnra's creation.","\c[1]Breve é a linha do tempo da vida humana. Não é breve a minha. Também não é breve a linha do tempo das forças alinhadas contra o Avatar de Donar.\! É eterno, o sombrio. Aquele que não é da essência da criação de Tahnra."
Zanatus.,Zanatus.
"\c[1]The one not of Tahnra bears an understanding beyond that which is possible within one mere timeline of the human.\! This empire named Archaelus, this army named Nephilim Army. Brief contrivances these are, to the dark one.\! To him, the mission is one that spans millennia. As long as his life. As my life.","\c[1]Aquele que não é de Tahnra tem uma compreensão além do que é possível em uma única linha do tempo humana.\! Este império chamado Archaelus, este exército chamado Exército Nephilim. Breves artifícios são estes para o sombrio.\! Para ele, a missão é uma que abrange milênios. Por tanto tempo quanto dura a sua vida. Como a minha vida."
"Yeah, I think that's pretty clear at this point. So, what exactly is this mission of his, anyway? The one I keep getting told I couldn't possibly understand?","É, acho que isso está bem claro agora. Então, qual é exatamente essa missão dele, afinal? A que vivem me dizendo que eu possivelmente não poderia entender?"
So...,Então...
"Dear Azuros, please trust \n[8] with your wisdom!","Caro Azuros, confie a \n[8] sua sabedoria!"
"\c[1]Adorimetra, the Gold. Mother of all of my kin. Mother of Azuros.\! First born of Donar in all Tahnra. First to awaken, when the god of creation awakened this world.\! Just as the Avatar of Donar stands before Azuros, so too does Azuros live.\! The dark one is not a descendant of Adorimetra. Not a descendant of Donar. An infestation.\! The mission of the human's timeline is to destroy, or to impede Zanatus.\! To destroy his body, and followers, and most crucially, his words. Words he has infused within the language of the mortal beings of Tahnra. Words which will be the undoing of all things.\! Words whose nature lie beyond even the understanding of Azuros...","\c[1]Adorimetra, a Dourada. Mãe de todos os meus parentes. Mãe de Azuros.\! Primeira filha de Donar em toda Tahnra. Primeira a despertar, quando o deus da criação despertou este mundo.\! Assim como o Avatar de Donar se apresenta diante de Azuros, assim também vive Azuros.\! O sombrio não é um descendente de Adorimetra. Não é um descendente de Donar. Uma infestação.\! A missão do cronograma humano é destruir ou impedir Zanatus.\! Para destruir seu corpo, seus seguidores e, mais crucialmente, suas palavras. Palavras que ele infundiu na linguagem dos seres mortais de Tahnra. Palavras que serão a ruína de todas as coisas.\! Palavras cuja natureza está além até mesmo do entendimento de Azuros..."
"An infestation. Interesting choice of words, Azuros. Everything else has been about some overwhelming power of creation.\! You, me, Abigayle, the magic that brought me back... all living things, all elements of nature, even Casamir, perhaps. But the one outlier is Zanatus.\! Any insight into what exactly he is, then?","Uma infestação. Escolha interessante de palavras, Azuros. Tudo o mais tem sido sobre algum poder avassalador de criação.\! Você, eu, Abigayle, a magia que me trouxe de volta... todos os seres vivos, todos os elementos da natureza, quem sabe até mesmo Casamir. Mas a única exceção é Zanatus.\! Alguma ideia sobre o que exatamente ele é, então?"
"I'm sorry, \n[8], this is all Dear Azuros knows. I feel a great regret within him. There is very little he doesn't know, thus the nature of Zanatus frustrates him greatly!","Peço desculpas, \n[8], mas isto é tudo que Azuros sabe. Sinto um grande arrependimento dentro dele. Há muito pouco que ele desconhece, portanto, a natureza de Zanatus o frustra enormemente!"
\c[1]Abigayle.,\c[1]Abigayle.
"Yes, Dear Azuros?","Sim, caro Azuros?"
"\c[1]The one named ""Nibbler"" has found counsel in me. He cares for Abigayle greatly. The young dragon's request will be fulfilled.\! In times ancient, there was one called ""Queen of Dragons"". This title will now return to Tahnra.\! Queen of Dragons Abigayle. The power of dragonkind is now yours to wield.","\c[1]O chamado ""Bocada"" encontrou aconselhamento em mim. Ele se importa muito com Abigayle. O pedido do jovem dragão será atendido.\! Em tempos antigos, havia a chamada ""Rainha dos Dragões"". Esse título agora retorna a Tahnra.\! Rainha dos Dragões Abigayle. O poder dos dragões agora é seu para comandar."
Queen of Dragons...?,Rainha dos Dragões? ...
"It's a little on the nose if you ask me, but hey, might as well make it official.","É um pouco óbvio, se você me perguntar, mas ei, melhor tornarmos isso oficial."
"\c[1]Abigayle can now become the ""Queen of Dragons"" unit, an incredibly powerful new type of Dragon Rider. Access this new class in the Class Change menu.","\c[1]Abigayle agora pode se tornar a unidade ""Rainha dos Dragões"", um novo tipo incrivelmente poderoso de Cavaleiro de dragão. Acesse essa nova classe no menu de mudança de classe."
