Devoa,德沃亚
Lindly,琳德莉
Antares,安塔瑞斯
Alexei,阿列克谢
Roland,罗兰
Lothair,洛泰尔
Trihan,特里罕
Terenor,特瑞诺
Casamir,卡萨米尔
Geoffrey,杰弗里
Gwynneth,格温妮丝
Kalytos,卡里多斯
Arm 1,臂1
Arm 2,臂2
Arm 3,臂3
Arm 4,臂4
Johan,乔安
Mafu,马福
Nibbler,轻遥
Cloudrender Athelis,云显·阿泰利斯
"""A new age is upon us - and dragons will rule it from the skies!""",“龙族会从空中统治大地，新的时代正向我们走来！”
Lady Clarimonde,克莱蒙德女士
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""",“事事以民为先才能成为最优秀的领导，才能战胜暴君。”
Kaffi the Curious,好奇者卡菲
"""Oh, another bad guy? How would you like me to kill them all this time?""",“噢，又有一个坏蛋？这次你想要我怎么干掉他们？”
The Outcast,放逐者
"""If you will not have me, then you will die...""",“抛弃我的人，死吧…”
Lt. Archibald,阿基伯德中尉
"""Those who cling to the past will be swallowed up by the future.""",“执着于过去的人将被未来所吞噬。”
Slayer Alphonse,屠龙者阿尔冯斯
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""",“我不害怕这些巨兽。他们虽然狡诈，但却不懂战争之道。”
Renalyn Steelheart,雷纳林·钢心
"""I have nothing left but my blade. May it carve a new path for me.""",“刀是我的所有。愿它为我开辟一条新的道路。”
Konrad the Cold,残酷之人康拉德
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""",“这名字还挺酷的吧？！好吧，那它起码挺真实的描述了我，是吧？”
Warlord Tatar,塔塔尔军阀
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""",“萨育纳的沙漠尚且不能杀死我，更何况你们这群蝼蚁！”
Sir Rolante,罗兰特爵士
"""The lost noble souls of the past live within me.""",“我的血液里流淌着失落的贵族精神。”
Teriq the Wicked,邪恶的泰瑞克
"""Usually they beg for the sweet release of death.""",“他们通常会祈求我给他们一个痛快。”
Matriarch Rosalie,女族长罗莎莉
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""",“维尔迪亚的人快来到我的身边，让我们一同洗涤这个世界的肮脏和罪恶！”
Deadeye Domak,神射手多马克
"""Got another one.""",“又搞定一个。”
Centhos the Muse,缪斯岑索斯
"""Words belie actions... always seek to pierce the veil to one`s true self.""",“言行向来不一……总是寻求揭开他人的真面目。”
Zeteni the Undying,不朽的泽特尼
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""",“出击赢一时。防守赢一世。世界是由懂得这个真理的人塑造的。”
General Bizen,比岑将军
"""I am not impressed by these firearms. Witness the true power of the marksman.""",“光有火器是无用。弹无虚发有大用。”
Cutthroat Klok,切喉者克拉克
"""Fame is transient. Glory is meaningless. But wealth is joy.""",“名气转瞬即逝。荣誉毫无意义。财富才是快乐之源”
Lord Carnith,卡尼斯勋爵
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""",“和我的祖祖辈辈一样，我要守护维尔迪亚的未来……天若阻我，我必逆天。”
Calvor the Tireless,不累之人卡维尔
"""If we do this right, we wont even need cumbersome armor.""",“只要做得对，轻身上阵也无妨。”
Philbert,菲尔伯特
Paul,保罗
Terric,特里克
Hough,霍夫
Rainer,莱纳
Richard,理查德
Peter,彼得
Gerald,杰拉尔德
Rauf,罗夫
Norman,诺曼
Elye,伊莱
Hal,哈尔
Amaury,阿莫里
Humphrey,汉弗莱
Milon,米隆
Bert,伯特
Christopher,克里斯托弗
Simon,西蒙
Drewett,德鲁伊特
Wyat,怀亚特
Armond,阿蒙
Edmund,埃德蒙
Ludvig,路德维格
Robert,罗伯特
Thomas,托马斯
Hadrian,哈德良
Batholemew,巴特莱姆
Emeric,埃梅里克
Ingraham,英格拉姆
Bernier,贝尼尔
Balan,巴兰
Wiscar,维斯卡
Isaac,艾萨克
Powell,鲍威尔
Folc,傅尔克
Manfred,曼弗雷德
Uriel,乌里尔
Herman,赫尔曼
Henry,亨利
Frederick,弗雷德里克
Tybost,泰博斯特
Percival,珀西瓦尔
Owen,欧文
Wymond,维蒙
Joffridus,乔弗里杜斯
Robertus,罗伯特斯
Brom,布罗姆
Elliot,艾略特
Atkin,阿特金
Digory,迪戈里
Alfred,阿尔弗雷德
Barrett,巴雷特
Jasper,贾斯珀
Gavin,加文
Mercer,梅西
Beringer,贝灵哲
Gunther,冈特
Tobias,托比亚斯
Athel,阿特尔
Dennis,丹尼斯
Mark,马克
Shaner,山纳
Jacobin,雅各宾
Percy,珀西
Franklin,富兰克林
Sham,沙门
Naser,纳赛尔
Farzin,法津
Sina,西纳
Kamram,卡拉姆
Sadeq,萨迪克
Bahrad,巴赫拉德
Reza,礼萨
Nader,纳德
Arman,阿尔曼
Karim,卡里姆
Abbas,阿巴斯
Milad,米拉德
Darmok,达莫克
Parsa,帕尔萨
Burkhart,伯克哈特
Otto,奥托
Walter,沃尔特
Manuel,曼努埃尔
Jorg,裘尔格
Tilmann,蒂尔曼
Tristan,特里斯坦
Markus,马库斯
Hugo,雨果
Antonin,安东尼亚
Nico,尼科
Andre,安德烈
Ernst,恩斯特
Cristof,克里斯托夫
Andreas,安德列斯
Ferdinand,费迪南德
Julius,尤利乌斯
Reinhardt,莱因哈特
Jillad,吉拉德
Raphael,拉斐尔
Justin,贾斯汀
Jon,乔恩
Matthew,马修
Brent,布伦特
Timothy,蒂莫西
Ryan,瑞恩
Jacob,雅各布
Nicholas,尼古拉斯
Ethron,伊特伦
William,威廉
Antonio,安东尼奥
Gregory,格雷戈里
Joel,乔尔
Noel,诺埃尔
Anthony,安东尼
MacLaine,麦克莱恩
Chad,查德
Brad,布拉德
Lambert,兰伯特
Andrew,安德鲁
Salem,塞勒姆
Zephyr,泽菲尔
Ozmon,奥兹蒙
Kushluk,库什鲁克
Dylan,迪兰
Ephraim,以法莲
Johannes,约翰内斯
Benny,本尼
Hela,海拉
Evette,艾薇特
Linvy,林维
Ariana,阿丽亚娜
Sara,莎拉
Kaylein,凯琳
Emma,艾玛
Magdalen,马格达伦
Bethany,贝瑟妮
Sabine,萨宾
Victoria,维多利亚
Jessimond,杰西蒙德
Cristina,克里斯蒂娜
Isolde,伊索尔德
Tilda,蒂尔达
Lina,莉娜
Oriel,奥里尔
Ezabell,埃萨贝尔
Gabriela,加布里埃拉
Gwen,格温
Beatrice,比阿特丽斯
Linette,琳娜特
Muriel,穆里尔
