ENGLISH,JAPANESE
Iron Mine,鉄鉱山
Gold Mine,金鉱山
Gems Mine,宝石鉱山
Sunstone Mine,日長石鉱山
Obsidian Mine,黒曜石鉱山
Fort,砦
Stables,馬小屋
Donari Temple,ドナー神殿
Kallenberg,カレンバーグ
Edennes,エデネス
Grodaal,グロダール
Eastwall,イーストウォール
Marrenburg Castle,マレンバーグ城
Maubonne,モーボーン
Marche,マルチェ
Centurion's Rest Compound,センチュリオンズレストの砦
Enmar,エンマル
Lothingen,ロシンゲン
Centurion's Rest,センチュリオンズレスト
Granheim Abbey,グランハイム修道院
Granheim Temple,グランハイム神殿
Lycia,ライシア
Fort Naxos,ナクソス砦
Hartbridge,ハートブリッジ
Conlingen,コンリンジェン
Donari Flagship,ドナーの旗
Donari Ship,ドナーの船
Tidereaver Ship,タイドリーバーの船
Tidereaver Flagship,タイドリーバーの旗
Lemelin Monastery,レメリン修道院
Greyden Slave Complex,グレイデン奴隷収容所
Moorsen,ムールセン
Auberlund,アウバーランド
Port Herald,ヘラルド港
Westerfield Fortress,ウェスタ―フィールド砦
Lemelin Fortress,レメリン砦
Isanter Palace,イサンテル宮殿
Kusloda,クスロダ
Teutoberg,テュートバーグ
Trucea,トルセア
Innsbruck,インスブルック
Osterbach,オスターバッハ
Fort Findorian,フィンドリアン砦
Balcross,バルクロス
Fort Eureeka,エウレカ砦
Miletos,マイルトロス
Casamir's Base,カサミールの基地
Rimorgue,リモーグ
Melmonde,メルモンデ
Kalletos,カレトス
Mytimia,マイティミア
Lucia,ルシア
Stormrook,ストームルーク
Westerfield,ウェスターフィールド
Imperial Sally Port,帝国の出撃路
Tilrode,ティルロード
Signy,シグニー
Rittenbach,リッテンバッハ
Tresilian,トレシリアン
Embor,エンボー
Eastwall Front Base,イーストウォール前線基地
Eastwall Fortress,イーストウォール砦
Gorinheim,ゴリンハイム
New Grodaal,ニューグロダール
"Felnamia Front Base,",フェルナミア前線基地
"Nikeda,",ニケダ
Midglen,ミドグレン
Kritea,クリテア
Blackstone,ブラックストーン
Sandraka Front Base,サンドラカ前線基地
Macbay,マクベイ
Crestmoor,クレストムーア
Greywind Shrine,グレイウィンドの祠
Greywind Lake,グレイウィンド湖
Ezrum,エズラム
Fort Dakur,ダクール砦
Qurmad,クアマッド
Reza,レザ
Dashun,ダーシュン
Sayunaa Palace,サユナー宮殿
Nephilim Army Base,ネフィリム軍事基地
Armitage,アーミテージ
Red Base,敵軍の基地
Blue Base,自軍の基地
Fort Sairaa,サイラー砦
Sidaah,シダー
Dragon Egg,ドラゴンの卵
Port Jenos,ジェノス港
Pyrocite Mine,パイロサイト鉱山
Bazaar,バザール
Vinveil,ヴィンヴェイル
Neubonne,ニューボーン
Diana Front Base,ダイアナの前線基地
Eberminster,エバーミニスター
Nikeda,ニケダ
Nikeda Redoubt,ニケダ要塞
Herstadt,ハースタッド
Felnamia,フェルナミア
Veringian,ヴェリンジアン
Fitch Family Farm,フィッチ家の農場
Trapped Sayunaari,囚われたサユナー人
Embor Palace,エンボーの宮殿
Helios Master Archive,ヘリオスのマスターアーカイブ
Prison escape,牢獄の脱出口
Jidah,ジダー
Sato the Cautious,思慮深きサトウ
"""One must save themselves before they can save others.""",「人は他人を救う前に、自分自身を救わなければならない」
Calden Blackwall,黒き壁カルデン
"""History is written by the army with the best artillery.""",「歴史とは、最高の砲を備えた軍隊によって紡がれる」
Aggarak the Returned,帰還兵のアガラク
"""Break their will to live.""",「敵の生きる意志を粉砕せよ」
Volkan the Grave,墓所のヴォルカン
"""The things you've tried to bury won't remain that way!""",「お前が埋葬したものが、そこにとどまることはない！」
Bulwark Bartolo,防壁のバートロ
"""The people of the Midlands have suffered too much.""",「内陸の民は、あまりにも苦しみすぎた」
Volkan the Grave,墓所のヴォルカン
"""What you have tried to bury will not stay buried!""",「お前が埋葬したものが、そこにとどまることはない！」
