English,Português (Brasil)
him,ele
Him,Ele
his,dele
His,Dele
he,ele
He,Ele
himself,ele próprio
Himself,Ele próprio
Boy,Menino
boy,menino
Man,Homem
man,homem
King,Rei
king,rei
Emperor,Imperador
emperor,imperador
God,Deus
god,deus
her,ela
Her,Ela
hers,dela
Hers,Dela
she,ela
She,Ela
herself,ela própria
Herself,Ela própria
Girl,Menina
girl,menina
Woman,Mulher
woman,mulher
"\c[1]       Year 972, Armitage, Capital city of the Empire of Veridia\|\|\|\|\|\^","\c[1]       Ano 972, Armitage, cidade capital do Império de Veridia\|\|\|\|\|\^"
