ENGLISH,Russian
him/her,его/её
Him/Her,Его/Её
his/hers,его/её
His/Hers,Его/Её
he/she,он/она
He/She,Он/Она
Kuroda,Курода
Protagonist,Протагонист
Zelos,Зелос
Jules,Джулс
Sybil,Сибил
Barnabas,Барнабас
Diana,Диана
Stefan,Стефан
Abigayle,Абигейл
Narima,Нарима
Raskuja,Раскуджа
Lysander,Лисандер
Jaromir,Яромир
Beatrix,Беатрикс
Edelia,Эделия
Hand of Zanatus,Длань Занатуса
Kuroda,Курода
herself/himself,сама/сам
Herself/Himself,Сама/Сам
his/her,его/её
His/Her,Его/Её
P.M. Casamir,ПМ Казамир
General Antares,Генерал Антарес
Empress Florina,Императрица Флорина
Emp. Casamir,Имп. Казамир
Boy/Girl,Мальчик/Девочка
boy/girl,мальчик/девочка
Man/Woman,Мужчина/Женщина
man/woman,мужчина/женщина
Fighter,Боец
Bowman,Лучник
Medic,Лекарь
Soldier,Солдат
Spearman,Копейщик
Archer,Опытный лучник
Rogue,Разбойник
Priestess,Жрица
Apprentice,Ученик
Sentinel,Страж
Zweihander,Цвайхендер
Halberdier,Алебардист
Crossbowman,Арбалетчик
Assassin,Ассасин
Paladin,Паладин
Templar,Храмовник
Siren,Сирена
Battlemage,Боевой маг
Dark Mage,Тёмный маг
Champion,Чемпион
Hoplite,Гоплит
Green Drakeling,Зелёный драклинг
Blue Drakeling,Синий драклинг
Silver Drakeling,Серебрянный драклинг
Red Drakeling,Красный драклинг
Gold Drakeling,Золотой драклинг
Black Drakeling,Чёрный драклинг
Green Dragon,Зелёный дракон
Blue Dragon,Синий дракон
Silver Dragon,Серебряный дракон
Red Dragon,Красный дракон
Gold Dragon,Золотой дракон
Black Dragon,Чёрный дракон
Zanatus,Занатус
Zanatus Hand,Длань Занатуса
Chef,Вождь
Man,Мужчина
Woman,Женщина
Scout,Разведчик
Donari Priest,Жрец Донари
Donari Paladin,Паладин Донари
Commander Trihan,Командир Трихан
Zanatus Mage,Маг Занатуса
Alex,Алекс
Duke Lothair,Герцог Лотэр
Duke Terenor,Герцог Теренор
Minister Harold,Министр Гарольд
General Albert,Генерал Альберт
Hooded Figure,Фигура в капюшоне
Jebediah,Джебедайя
Cyrus,Сайрус
Child,Ребёнок
Imperial Soldier,Имперский солдат
Grandmaster Oxley,Магистр Оксли
Emperor Zelos,Император Зелос
Imperial Minister,Имперский министр
Wolfgar,Вульфгар
Isanter Commander,Командир Изантера
Rimorgue Commander,Командир Риморга
Dragon Rider,Драконий всадник
Prison Guard,Тюремный охранник
General Narima,Генерал Нарима
King Jules,Король Джулс
Lieutenant,Лейтенант
General Trihan,Генерал Трихан
Randolf,Рандольф
General Ragavi,Генерал Рагави
Imperial Officer,Имперский офицер
Imperial Cadet,Имперский кадет
Pendergast,Пендергаст
Father,Отец
Mother,Мать
Siege Commander,Командир осады
Klaus,Клаус
Dirk,Дирк
Temple Guard,Страж храма
Donari Pilgrim,Паломник Донари
Captain Antares,Капитан Антарес
Cadet Barnabas,Кадет Барнабас
Florina,Флорина
Lord Godfrey,Лорд Годфри
Duke Rostam,Герцог Ростам
Razehl,Разел
Azuros,Азурос
Tidereaver Marauder,Мародёр Тайдривера
