ENGLISH,ZH-cn
Iron Mine,铁矿
Gold Mine,金矿
Gems Mine,宝石矿
Sunstone Mine,太阳石矿
Obsidian Mine,黑曜石矿
Fort,堡垒
Stables,马厩
Donari Temple,多纳尔圣殿
Kallenberg,卡伦堡
Edennes,伊甸纳
Grodaal,格罗多
Eastwall,东墙
Marrenburg Castle,玛伦堡
Maubonne,莫伯纳
Marche,马奇
Centurion's Rest Compound,百夫长安息处营地
Enmar,恩玛
Lothingen,洛辛根
Centurion's Rest,百夫长安息处
Granheim Abbey,格兰海姆修道院
Granheim Temple,格兰海姆圣殿
Lycia,利西亚
Fort Naxos,纳克索斯堡
Hartbridge,红鹿桥
Conlingen,康林根
Donari Flagship,多纳尔旗舰
Donari Ship,多纳尔船只
Tidereaver Ship,噬浪团船只
Tidereaver Flagship,噬浪团据点
Lemelin Monastery,莱梅林修道院
Greyden Slave Complex,格雷登奴隶区
Moorsen,莫森
Auberlund,奥伯隆
Port Herald,先驱港
Westerfield Fortress,西地堡
Lemelin Fortress,莱梅林堡
Isanter Palace,伊桑特宫
Kusloda,库斯洛达
Teutoberg,条顿堡
Trucea,特鲁恰
Innsbruck,因斯布鲁克
Osterbach,奥斯特巴赫
Fort Findorian,芬多里安堡
Balcross,鲍克罗斯
Fort Eureeka,尤里卡堡
Miletos,米利托
Casamir's Base,卡萨米尔的营地
Rimorgue,里莫格
Melmonde,梅尔蒙德
Kalletos,卡莱托斯
Mytimia,麦提米亚
Lucia,露西亚
Stormrook,风鸦堡
Westerfield,西地
Imperial Sally Port,帝国暗门
Tilrode,提尔罗德
Signy,西格尼
Rittenbach,游独堡
Tresilian,特雷西连
Embor,恩博尔
Eastwall Front Base,东墙前营
Eastwall Fortress,东墙要塞
Gorinheim,歌林海姆
New Grodaal,新格罗多
"Felnamia Front Base,",费纳米亚前营，
"Nikeda,",尼克达，
Midglen,米德伦
Kritea,克利特
Blackstone,黑石
Sandraka Front Base,桑德拉卡前营
Macbay,马克湾
Crestmoor,浪野
Greywind Shrine,灰风神殿
Greywind Lake,灰风湖
Ezrum,艾泽拉姆
Fort Dakur,达库尔堡
Qurmad,奎玛德
Reza,礼萨
Dashun,达舜
Sayunaa Palace,萨育纳宫
Nephilim Army Base,圣灵军团营地
Armitage,阿米塔吉
Red Base,红色营地
Blue Base,蓝色营地
Fort Sairaa,塞拉堡
Sidaah,西迪亚
Dragon Egg,龙蛋
Port Jenos,热诺斯港
Pyrocite Mine,火铁矿井
Bazaar,集市
Vinveil,威维尔
Neubonne,新博讷
Diana Front Base,戴安娜的前营
Eberminster,艾勃敏斯特
Nikeda,尼克达
Nikeda Redoubt,尼克达堡垒
Herstadt,赫尔城
Felnamia,费纳米亚
Veringian,维瑞吉安
Fitch Family Farm,费奇家族农场
Trapped Sayunaari,受困的萨育纳人
Embor Palace,恩博尔公爵府
Helios Master Archive,赫利俄斯主档案馆
Prison escape,监狱逃生口
Jidah,吉达
