Devoa,Devoa
Lindly,Lindly
Antares,Antares
Alexei,Alexei
Roland,Roland
Lothair,Lothair
Trihan,Trihan
Terenor,Terenor
Casamir,Casamir
Geoffrey,Geoffrey
Gwynneth,Gwynneth
Kalytos,Kalytos
Arm 1,Brazo 1
Arm 2,Brazo 2
Arm 3,Brazo 3
Arm 4,Brazo 4
Johan,Johan
Mafu,Mafu
Nibbler,Mordiscos
Cloudrender Athelis,Rasganubes Athelis
"""A new age is upon us - and dragons will rule it from the skies!""",«Una nueva era se aproxima y los dragones la gobernarán desde los cielos».
Lady Clarimonde,Lady Clarimonde
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""",«El líder definitivo es también el siervo definitivo y logrará la victoria ante un tirano».
Kaffi the Curious,"Kaffi, el Curioso"
"""Oh, another bad guy? How would you like me to kill them all this time?""","«Ah, ¿otro enemigo? ¿Cómo te gustaría que los matara a todos esta vez?»."
The Outcast,El Marginado
"""If you will not have me, then you will die...""","«Si no me eliminas, morirás»."
Lt. Archibald,Teniente Archibald
"""Those who cling to the past will be swallowed up by the future.""",«Quienes se aferren al pasado serán consumidos por el futuro».
Slayer Alphonse,Asesino Alphonse
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""","«No temo a esas grandes bestias. Son listas, pero no entienden el arte de la guerra»."
Renalyn Steelheart,Renalyn Bravacero
"""I have nothing left but my blade. May it carve a new path for me.""","«No me queda nada, excepto mi espada. Espero que me sirva para trazar un nuevo destino»."
Konrad the Cold,"Konrad, el Frío"
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""","«¿Qué te parece? Un gran nombre, ¿no? Bueno, habla por sí solo, ¿no?»."
Warlord Tatar,Jefe militar Tatar
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""","«Los desiertos de Sayunaa no me quitarán la vida y ustedes tampoco, idiotas»."
Sir Rolante,Sir Rolante
"""The lost noble souls of the past live within me.""",«Las almas nobles del pasado viven dentro de mí».
Teriq the Wicked,Teriq el Malvado
"""Usually they beg for the sweet release of death.""","«En general, ruegan por la dulce redención de la muerte»."
Matriarch Rosalie,Matriarca Rosalie
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""","«Hombres de Veridia, acompáñenme a limpiar la inmundicia y el pecado este mundo derruido»."
Deadeye Domak,"Domak, el Certero"
"""Got another one.""",«Tengo a otro».
Centhos the Muse,"Centhos, la Musa"
"""Words belie actions... always seek to pierce the veil to one`s true self.""",«Las palabras contradicen los actos. Trata siempre de penetrar el velo de tu verdadero yo».
Zeteni the Undying,"Zeteni, el Inmortal"
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""","«Un buen ataque gana un combate, pero una buena defensa gana la guerra. Quienes comprenden esto dan forma a nuestro mundo»."
General Bizen,General Bizen
"""I am not impressed by these firearms. Witness the true power of the marksman.""",«No me impresionan esas armas de fuego. Contemplad el verdadero poder de un tirador».
Cutthroat Klok,Cortacuellos Klok
"""Fame is transient. Glory is meaningless. But wealth is joy.""","«La fama es pasajera y la gloria carece de sentido, pero la riqueza es alegría»."
Lord Carnith,Lord Carnith
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""","«Protegeré el futuro de Veridia como hicieron mis antepasados, sin importar por qué o por quién deba velar»."
Calvor the Tireless,"Calvor, el Incansable"
"""If we do this right, we wont even need cumbersome armor.""","«Si hacemos esto bien, no necesitaremos más armaduras pesadas»."
Philbert,Philbert
Paul,Paul
Terric,Terric
Hough,Hough
Rainer,Rainer
Richard,Richard
Peter,Peter
Gerald,Gerald
Rauf,Rauf
Norman,Norman
Elye,Elye
Hal,Hal
Amaury,Amaury
Humphrey,Humphrey
Milon,Milon
Bert,Bert
Christopher,Christopher
Simon,Simon
Drewett,Drewett
Wyat,Wyat
Armond,Armond
Edmund,Edmund
Ludvig,Ludvig
Robert,Robert
Thomas,Thomas
Hadrian,Hadrian
Batholemew,Batholemew
Emeric,Emeric
Ingraham,Ingraham
Bernier,Bernier
Balan,Balan
Wiscar,Wiscar
Isaac,Isaac
Powell,Powell
Folc,Folc
Manfred,Manfred
Uriel,Uriel
Herman,Herman
Henry,Henry
Frederick,Frederick
Tybost,Tybost
Percival,Percival
Owen,Owen
Wymond,Wymond
Joffridus,Joffridus
Robertus,Robertus
Brom,Brom
Elliot,Elliot
Atkin,Atkin
Digory,Digory
Alfred,Alfred
Barrett,Barrett
Jasper,Jasper
Gavin,Gavin
Mercer,Mercer
Beringer,Beringer
Gunther,Gunther
Tobias,Tobias
Athel,Athel
Dennis,Dennis
Mark,Mark
Shaner,Shaner
Jacobin,Jacobin
Percy,Percy
Franklin,Franklin
Sham,Sham
Naser,Naser
Farzin,Farzin
Sina,Sina
Kamram,Kamram
Sadeq,Sadeq
Bahrad,Bahrad
Reza,Reza
Nader,Nader
Arman,Arman
Karim,Karim
Abbas,Abbas
Milad,Milad
Darmok,Darmok
Parsa,Parsa
Burkhart,Burkhart
Otto,Otto
Walter,Walter
Manuel,Manuel
Jorg,Jorg
Tilmann,Tilmann
Tristan,Tristan
Markus,Markus
Hugo,Hugo
Antonin,Antonin
Nico,Nico
Andre,Andre
Ernst,Ernst
Cristof,Cristof
Andreas,Andreas
Ferdinand,Ferdinand
Julius,Julius
Reinhardt,Reinhardt
Jillad,Jillad
Raphael,Raphael
Justin,Justin
Jon,Jon
Matthew,Matthew
Brent,Brent
Timothy,Timothy
Ryan,Ryan
Jacob,Jacob
Nicholas,Nicholas
Ethron,Ethron
William,William
Antonio,Antonio
Gregory,Gregory
Joel,Joel
Noel,Noel
Anthony,Anthony
MacLaine,MacLaine
Chad,Chad
Brad,Brad
Lambert,Lambert
Andrew,Andrew
Salem,Salem
Zephyr,Zephyr
Ozmon,Ozmon
Kushluk,Kushluk
Dylan,Dylan
Ephraim,Ephraim
Johannes,Johannes
Benny,Benny
Hela,Hela
Evette,Evette
Linvy,Linvy
Ariana,Ariana
Sara,Sara
Kaylein,Kaylein
Emma,Emma
Magdalen,Magdalen
Bethany,Bethany
Sabine,Sabine
Victoria,Victoria
Jessimond,Jessimond
Cristina,Cristina
Isolde,Isolde
Tilda,Tilda
Lina,Lina
Oriel,Oriel
Ezabell,Ezabell
Gabriela,Gabriela
Gwen,Gwen
Beatrice,Beatrice
Linette,Linette
Muriel,Muriel
Nancy,Nancy
Alison,Alison
Godiva,Godiva
Marione,Marione
Adelena,Adelena
Jacqueline,Jacqueline
Sarra,Sarra
Tabitha,Tabitha
Freya,Freya
Natalie,Natalie
Anna,Anna
Stefanie,Stefanie
Rita,Rita
Teresa,Teresa
Janina,Janina
Marion,Marion
Cornelia,Cornelia
Anke,Anke
Rikke,Rikke
Caroline,Caroline
Yasmin,Yasmin
Dorothea,Dorothea
Madleen,Madleen
Helena,Helena
Wilhelmina,Wilhelmina
Millie,Millie
Karin,Karin
Lisette,Lisette
Vera,Vera
Miriam,Miriam
Katrine,Katrine
Sigrid,Sigrid
Oriana,Oriana
Linnea,Linnea
Heidi,Heidi
Signy,Signy
Sofia,Sofia
Vedia,Vedia
Theodora,Theodora
Sima,Sima
Ozra,Ozra
Mahya,Mahya
Dorsa,Dorsa
Leylani,Leylani
Pardis,Pardis
Sofala,Sofala
Nassim,Nassim
Fakhri,Fakhri
Marzieh,Marzieh
Roya,Roya
Halimeh,Halimeh
Khatoun,Khatoun
Erika,Erika
Katherine,Katherine
Crystal,Crystal
Somayeh,Somayeh
Amelia,Amelia
Ekkon,Ekkon
Kuthex,Kuthex
Izeth,Izeth
Thozilg,Thozilg
Olkoz,Olkoz
Chuzzax,Chuzzax
Tesath,Tesath
Druzgix,Druzgix
Gurgogg,Gurgogg
Ushtoz,Ushtoz
Orzi,Orzi
Nelkai,Nelkai
Oskaz,Oskaz
Algozu,Algozu
Strigoz,Strigoz
Moda,Moda
Gedrir,Gedrir
Naddrus,Naddrus
Qezud,Qezud
Kirgonath,Kirgonath
Qathog,Qathog
Gorvu,Gorvu
Torrax,Torrax
Burith,Burith
Narlox,Narlox
Durgath,Durgath
Myrga,Myrga
Gothai,Gothai
Ruzog,Ruzog
Aldroc,Aldroc
Irdiru,Irdiru
Xyzzyx,Xyzzyx
Vogniax,Vogniax
Sinagg,Sinagg
Katko,Katko
Kristax,Kristax
Etrae,Etrae
Kheshnax,Kheshnax
Ilkuta,Ilkuta
Trollian,Trollian
Clyde,Clyde
Oten,Oten
Kabura,Kabura
Dmitry,Dmitry
Manilyn,Manilyn
Nossfe,Nossfe
Ashim,Ashim
Guy Verre Kanon,Guy Verre Kanon
"Granis, The Lightbringer","Granis, el Portador de Luz"
"""Donar, send me your greatest foes.""","«Donar, envía a tus rivales más fieros»."
"""From destitution findeth restitution.""",«En la destitución hallarás restitución».
Sato the Cautious,"Sato, el Cauto"
"""One must save themselves before they can save others.""",«Uno debe salvarse a sí mismo para poder salvar a otros».
Calden Blackwall,Calden Muronegro
"""History is written by the army with the best artillery.""",«El ejército con la mejor artillería es el que escribe la historia».
Aggarak the Returned,"Aggarak, el Retornado"
"""Break their will to live.""",«Acabad con sus deseos de vivir».
Volkan the Grave,"Volkan, el Solemne"
"""The things you've tried to bury won't remain that way!""",«¡Lo que has tratado de enterrar no tardará en salir a la luz!».
Bulwark Bartolo,Bartolo Torreón
"""The people of the Midlands have suffered too much.""",«La gente de las Tierras Medias ha sufrido demasiado».
Volkan the Grave,"Volkan, el Solemne"
"""What you have tried to bury will not stay buried!""",«¡Lo que has tratado de enterrar no tardará en salir a la luz!». 
