ENGLISH,ZH-cn
Fighter,勇士
Soldier,士兵
Spearman,矛兵
Zweihander,双手剑士
Champion,冠军剑士
Samurai,武士
Centurion,百夫长
Sentinel,卫兵
Cavalier,骑兵
Knight,骑士
Paladin,圣骑士
Valkyrie,女武神
Skirmisher,散兵
Rogue,盗贼
Ranger,游侠
Assassin,刺客
Scout,斥候
Hussar,骠骑兵
Bowman,射手
Archer,弓兵
Warbow,战弓手
Horsebow,弓骑兵
Raider,骑射手
Medic,医疗兵
Priestess,女祭司
Templar,圣疗者
Hospitaller,疗骑士
Apprentice,学徒
Siren,女巫
Fire Mage,火法师
Ice Mage,冰法师
Lightning Mage,雷法师
Sorceress,女术士
Dark Mage,暗法师
Crossbowman,弩手
Gunner,火枪兵
Dragoon,龙骑兵
Siege Cannon,攻城炮
Dragon,龙
Drakeling,幼龙
Blue Dragon,蓝龙
Silver Dragon,银龙
Red Dragon,红龙
Blue Dragon Rider,蓝龙骑士
Silver Dragon Rider,银龙骑士
Red Dragon Rider,红龙骑士
Captain,队长
Lord,领主
Azure King,青龙王
Exemplar,楷模
General,将军
Archmage,大法师
Dark Knight,暗骑士
Mercenary,雇佣兵
Azure Dragon,青龙
Girl,女孩
Boy,男孩
Titan,泰坦
Mirage,幻影
Dark God,暗神
Zanatus Arm,扎纳图斯之臂
Knight of Donar,多纳尔的骑士
Militia,民兵
Swordfighter,剑客
Swordmaster,剑圣
Acolyte,侍僧
Magician,法师
Magister,魔导师
Adventurer,冒险家
Nightblade,夜刃
Avatar of Donar,多纳尔的化身
Scion of Donar,多纳尔的后裔
Blademaster,刀剑大师
Arbalest,钢弩
Warcat,战猫
Behemoth,巨兽
Necromancer,亡灵法师
Risen Spearman,复苏矛兵
Risen Soldier,复苏士兵
Risen Swordsman,复苏剑士
Risen Archer,复苏弓兵
Risen Warrior,复苏战士
Risen Knight,复苏骑士
Risen Archmage,复苏大法师
Queen of Dragons,龙族女王
Oracle,神谕者
Field Cannon,野战炮
