Devoa,Devoa
Lindly,Lindly
Antares,Antarès
Alexei,Alexei
Roland,Roland
Lothair,Lothair
Trihan,Trihan
Terenor,Terenor
Casamir,Casamir
Geoffrey,Geoffrey
Gwynneth,Gwynneth
Kalytos,Kalytos
Arm 1,Bras 1
Arm 2,Bras 2
Arm 3,Bras 3
Arm 4,Bras 4
Johan,Johan
Mafu,Mafu
Nibbler,Mâchouille
Cloudrender Athelis,"Athelis, le Guerrier des Nuages"
"""A new age is upon us - and dragons will rule it from the skies!""",« Une nouvelle ère s'ouvre à nous - et les dragons la dirigeront depuis les cieux ! »
Lady Clarimonde,Lady Clarimonde
"""The ultimate leader is the ultimate servant, and will achieve victory over a tyrant.""","« Le meneur ultime est le serviteur ultime, et obtiendra la victoire sur un tyran. »"
Kaffi the Curious,Kaffi la curieuse
"""Oh, another bad guy? How would you like me to kill them all this time?""","« Oh, un autre méchant ? Comment voulez-vous que je le tue ? »"
The Outcast,Le Banni
"""If you will not have me, then you will die...""","« Si vous ne voulez pas de moi, alors vous mourrez... »"
Lt. Archibald,Lieutenant Archibald
"""Those who cling to the past will be swallowed up by the future.""",« Ceux qui s'accrochent au passé seront engloutis par l'avenir. »
Slayer Alphonse,Alphonse le Tueur
"""I do not fear these great beasts. They are cunning, but they do not understand the ways of war.""","« Je ne crains pas ces grandes bêtes. Elles sont rusées, mais elles ne comprennent pas l'art de la guerre. »"
Renalyn Steelheart,Renalyn Steelheart
"""I have nothing left but my blade. May it carve a new path for me.""",« Il ne me reste que ma lame. Puisse-t-elle me tracer un nouveau chemin. »
Konrad the Cold,Konrad le Froid
"""Whaddya think, cool name, huh?! Okay well, it is descriptive, is it not?""","« Qu'est-ce que t'en penses, j'ai un nom sympa, hein ? Bon, c'est descriptif, en tout cas ? »"
Warlord Tatar,Seigneur de guerre Tatar
"""The deserts of Sayunaa could not take my life, nor will any of you fools!""","« Les déserts de Sayunaa n'ont pas pu prendre ma vie, et aucun de vous, imbéciles, ne le fera ! »"
Sir Rolante,Sir Rolante
"""The lost noble souls of the past live within me.""",« Les nobles âmes perdues du passé vivent en moi. »
Teriq the Wicked,Teriq le Fourbe
"""Usually they beg for the sweet release of death.""","« D'habitude, ils implorent la douce libération de la mort. »"
Matriarch Rosalie,Matriarche Rosalie
"""Men of Veridia, come to my side, and we shall purge this fallen world of filth and sin!""","« Hommes de Veridia, venez à mes côtés, et nous purgerons ce monde déchu de la crasse et du péché ! »"
Deadeye Domak,Domak à l'œil torve
"""Got another one.""",« J'en ai un autre. »
Centhos the Muse,Centhos la muse
"""Words belie actions... always seek to pierce the veil to one`s true self.""",« Les mots démentent les actions... cherchez toujours à percer le voile de votre véritable identité. »
Zeteni the Undying,Zeteni l'Immortel
"""Offense wins battles. Defense wins wars. Those who understand this shape our world.""",« L'attaque gagne des batailles. La défense gagne les guerres. Ceux qui comprennent cela façonnent notre monde. »
General Bizen,Général Bizen
"""I am not impressed by these firearms. Witness the true power of the marksman.""",« Je ne suis pas impressionné par ces armes à feu. Soyez le témoin du véritable pouvoir de l'archer. »
Cutthroat Klok,Klok le Coupe-gorge
"""Fame is transient. Glory is meaningless. But wealth is joy.""","« La célébrité est éphémère. La gloire n'a pas de sens. Mais la richesse, c'est la joie. »"
Lord Carnith,Seigneur Carnith
"""I will guard the future of Veridia just as my ancestors did... whatever and whomever that may be.""",« Je préserverai l'avenir de Veridia comme l'ont fait mes ancêtres... quels qu'ils soient et qui que ce soit. »
Calvor the Tireless,Calvor l'infatigable
"""If we do this right, we wont even need cumbersome armor.""","« Si nous faisons ça bien, nous n'aurons même pas besoin d'une armure. »"
Philbert,Philbert
Paul,Paul
Terric,Terric
Hough,Hough
Rainer,Rainer
Richard,Richard
Peter,Peter
Gerald,Gerald
Rauf,Rauf
Norman,Norman
Elye,Elye
Hal,Hal
Amaury,Amaury
Humphrey,Humphrey
Milon,Milon
Bert,Bert
Christopher,Christopher
Simon,Simon
Drewett,Drewett
Wyat,Wyat
Armond,Armond
Edmund,Edmund
Ludvig,Ludvig
Robert,Robert
Thomas,Thomas
Hadrian,Hadrian
Batholemew,Batholemew
Emeric,Emeric
Ingraham,Ingraham
Bernier,Bernier
Balan,Balan
Wiscar,Wiscar
Isaac,Isaac
Powell,Powell
Folc,Folc
Manfred,Manfred
Uriel,Uriel
Herman,Herman
Henry,Henry
Frederick,Frederick
Tybost,Tybost
Percival,Percival
Owen,Owen
Wymond,Wymond
Joffridus,Joffridus
Robertus,Robertus
Brom,Brom
Elliot,Elliot
Atkin,Atkin
Digory,Digory
Alfred,Alfred
Barrett,Barrett
Jasper,Jasper
Gavin,Gavin
Mercer,Mercer
Beringer,Beringer
Gunther,Gunther
Tobias,Tobias
Athel,Athel
Dennis,Dennis
Mark,Mark
Shaner,Shaner
Jacobin,Jacobin
Percy,Percy
Franklin,Franklin
Sham,Sham
Naser,Naser
Farzin,Farzin
Sina,Sina
Kamram,Kamram
Sadeq,Sadeq
Bahrad,Bahrad
Reza,Reza
Nader,Nader
Arman,Arman
Karim,Karim
Abbas,Abbas
Milad,Milad
Darmok,Darmok
Parsa,Parsa
Burkhart,Burkhart
Otto,Otto
Walter,Walter
Manuel,Manuel
Jorg,Jorg
Tilmann,Tilmann
Tristan,Tristan
Markus,Markus
Hugo,Hugo
Antonin,Antonin
Nico,Nico
Andre,André
Ernst,Ernst
Cristof,Cristof
Andreas,Andreas
Ferdinand,Ferdinand
Julius,Julius
Reinhardt,Reinhardt
Jillad,Jillad
Raphael,Raphael
Justin,Justin
Jon,Jon
Matthew,Matthew
Brent,Brent
Timothy,Timothy
Ryan,Ryan
Jacob,Jacob
Nicholas,Nicholas
Ethron,Ethron
William,William
Antonio,Antonio
Gregory,Gregory
Joel,Joel
Noel,Noel
Anthony,Anthony
MacLaine,MacLaine
Chad,Chad
Brad,Brad
Lambert,Lambert
Andrew,Andrew
Salem,Salem
Zephyr,Zephyr
Ozmon,Ozmon
Kushluk,Kushluk
Dylan,Dylan
Ephraim,Ephraim
Johannes,Johannes
Benny,Benny
Hela,Hela
Evette,Evette
Linvy,Linvy
Ariana,Ariana
Sara,Sara
Kaylein,Kaylein
Emma,Emma
Magdalen,Magdalen
Bethany,Bethany
Sabine,Sabine
Victoria,Victoria
Jessimond,Jessimond
Cristina,Cristina
Isolde,Isolde
Tilda,Tilda
Lina,Lina
Oriel,Oriel
Ezabell,Ezabell
Gabriela,Gabriela
Gwen,Gwen
Beatrice,Beatrice
Linette,Linette
Muriel,Muriel
Nancy,Nancy
Alison,Alison
Godiva,Godiva
Marione,Marione
Adelena,Adelena
Jacqueline,Jacqueline
Sarra,Sarra
Tabitha,Tabitha
Freya,Freya
Natalie,Natalie
Anna,Anna
Stefanie,Stefanie
Rita,Rita
Teresa,Teresa
Janina,Janina
Marion,Marion
Cornelia,Cornelia
Anke,Anke
Rikke,Rikke
Caroline,Caroline
Yasmin,Yasmin
Dorothea,Dorothea
Madleen,Madleen
Helena,Helena
Wilhelmina,Wilhelmina
Millie,Millie
Karin,Karin
Lisette,Lisette
Vera,Vera
Miriam,Miriam
Katrine,Katrine
Sigrid,Sigrid
Oriana,Oriana
Linnea,Linnea
Heidi,Heidi
Signy,Signy
Sofia,Sofia
Vedia,Vedia
Theodora,Theodora
Sima,Sima
Ozra,Ozra
Mahya,Mahya
Dorsa,Dorsa
Leylani,Leylani
Pardis,Pardis
Sofala,Sofala
Nassim,Nassim
Fakhri,Fakhri
Marzieh,Marzieh
Roya,Roya
Halimeh,Halimeh
Khatoun,Khatoun
Erika,Erika
Katherine,Katherine
Crystal,Cristal
Somayeh,Somayeh
Amelia,Amelia
Ekkon,Ekkon
Kuthex,Kuthex
Izeth,Izeth
Thozilg,Thozilg
Olkoz,Olkoz
Chuzzax,Chuzzax
Tesath,Tesath
Druzgix,Druzgix
Gurgogg,Gurgogg
Ushtoz,Ushtoz
Orzi,Orzi
Nelkai,Nelkai
Oskaz,Oskaz
Algozu,Algozu
Strigoz,Strigoz
Moda,Moda
Gedrir,Gedrir
Naddrus,Naddrus
Qezud,Qezud
Kirgonath,Kirgonath
Qathog,Qathog
Gorvu,Gorvu
Torrax,Torrax
Burith,Burith
Narlox,Narlox
Durgath,Durgath
Myrga,Myrga
Gothai,Gothai
Ruzog,Ruzog
Aldroc,Aldroc
Irdiru,Irdiru
Xyzzyx,Xyzzyx
Vogniax,Vogniax
Sinagg,Sinagg
Katko,Katko
Kristax,Kristax
Etrae,Etrae
Kheshnax,Kheshnax
Ilkuta,Ilkuta
Trollian,Trollian
Clyde,Clyde
Oten,Oten
Kabura,Kabura
Dmitry,Dmitry
Manilyn,Manilyn
Nossfe,Nossfe
Ashim,Ashim
Guy Verre Kanon,Guy Verre Kanon
"Granis, The Lightbringer","Granis, le Lumineux"
"""Donar, send me your greatest foes.""","« Donar, envoie-moi tes plus grandes batailles. »"
"""From destitution findeth restitution.""",« De la misère provient la délivrance. »
Sato the Cautious,Sato le Prudent
"""One must save themselves before they can save others.""",«Il faut se sauver soi-même avant de pouvoir sauver les autres.»
Calden Blackwall,Calden Blackwall
"""History is written by the army with the best artillery.""",«L’Histoire est écrite par l’armée qui possède la meilleure artillerie.»
Aggarak the Returned,Aggarak le Revenant
"""Break their will to live.""",«Brisez leur volonté de vivre».
Volkan the Grave,Volkan le Tombeau
"""The things you've tried to bury won't remain that way!""",«Les choses que vous avez essayé d’enterrer ne resteront pas sous terre !»
Bulwark Bartolo,Bulwark Bartolo
"""The people of the Midlands have suffered too much.""",«Le peuple des Midlands a trop souffert.»
Volkan the Grave,Volkan le Tombeau
"""What you have tried to bury will not stay buried!""",«Ce que vous avez tenté d’enterrer ne le resteront pas !»
