ENGLISH,KOREAN
Iron Mine,철 광산
Gold Mine,황금 광산
Gem Mine,보석 광산
Sunstone Mine,태양석 광산
Obsidian Mine,흑요석 광산
Fort,요새
Stables,마구간
Donari Temple,도나리교 사원
Kallenberg,칼렌버그
Edennes,에데니스
Grodaal,그로달
Eastwall,이스트월
Marrenburg Castle,마렌버그 성
Maubonne,모본
Marche,마르셰
Centurion's Rest Compound,백인대장의 안식처 시설
Enmar,엔마르
Lothingen,로팅겐
Centurion's Rest,백인대장의 안식처
Granheim Abbey,그랜하임 수도원
Granheim Temple,그랜하임 사원
Lycia,리시아
Fort Naxos,낙소스 요새
Hartbridge,하트브릿지
Conlingen,콘링겐
Donari Flagship,도나리교 기함
Donari Ship,도나리교 배
Tidereaver Ship,타이드리버 배
Tidereaver Flagship,타이드리버 기함
Lemelin Monastery,레멜린 대수도원
Greyden Slave Complex,그레이덴 노예 시설
Moorsen,무어센
Auberlund,오버룬드
Port Herald,헤랄드 항구
Westerfield Fortress,웨스터필드 요새
Lemelin Fortress,레멜린 요새
Isanter Palace,이산테르 궁전
Kusloda,쿠슬로다
Teutoberg,튜토버그
Trucea,트루세아
Innsbruck,인스브룩
Osterbach,오스터바흐
Fort Findorian,핀도리안 요새
Balcross,발크로스
Fort Eureeka,유리카 요새
Miletos,밀레토스
Casamir's Base,카사미르의 기지
Rimorgue,리모르그
Melmonde,멜몬드
Kalletos,칼리토스
Mytimia,미티미아
Lucia,루시아
Stormrook,스톰루크
Westerfield,웨스터필드
Imperial Sally Port,제국 황궁 후면 진입로
Tilrode,틸로드
Signy,시그니
Rittenbach,리텐바흐
Tresilian,트레실리안
Embor,엠보어
Eastwall Front Base,이스트월 전진 기지
Eastwall Fortress,이스트월 요새
Gorinheim,고린하임
New Grodaal,뉴 그로달
"Felnamia Front Base,","펠나미아 전진 기지,"
"Nikeda,","니케다,"
Midglen,미드글렌
Kritea,크리티아
Blackstone,블랙스톤
Sandraka Front Base,산드라카 전진 기지
Macbay,맥베이
Crestmoor,크레스트무어
Greywind Shrine,그레이윈드 사당
Greywind Lake,그레이윈드 호수
Ezrum,에즈룸
Fort Dakur,다쿠르 요새
Qurmad,쿼마드
Reza,레자
Dashun,다슌
Sayunaa Palace,사유나 궁전
Nephilim Army Base,네필림 군대 기지
Armitage,아미티지
Red Base,붉은 기지
Blue Base,푸른 기지
Fort Sairaa,사이라 요새
Sidaah,시다
Dragon Egg,용 알
Port Jenos,제노스 항구
Pyrocite Mine,파이로사이트 광산
Bazaar,천막상점
Vinveil,빈베일
Neubonne,뉴본
Diana Front Base,다이애나 전진 기지
Eberminster,에버민스터
Nikeda,니케다
Nikeda Redoubt,니케다 보루
Herstadt,헬슈타트
Felnamia,펠나미아
Veringian,베링기안
Fitch Family Farm,피치 가문 농장
Trapped Sayunaari,함정에 빠진 사유나 인들
Embor Palace,엠보어 궁전
Helios Master Archive,헬리오스 최고 기록보관소
Prison escape,감옥 탈출
Jidah,지다
