ENGLISH,FRENCH
Iron Mine,Mine de fer
Gold Mine,Mine d'or
Gems Mine,Mine de gemmes
Sunstone Mine,Mine de Pierre du soleil
Obsidian Mine,Mine d'obsidienne
Fort,Fort
Stables,Écuries
Donari Temple,Temple de Donar
Kallenberg,Kallenberg
Edennes,Edennes
Grodaal,Grodaal
Eastwall,Eastwall
Marrenburg Castle,Château de Marrenburg
Maubonne,Maubonne
Marche,Marche
Centurion's Rest Compound,Complexe du Repos du Centurion
Enmar,Enmar
Lothingen,Lothingen
Centurion's Rest,Repos du centurion
Granheim Abbey,Abbaye de Granheim
Granheim Temple,Temple de Granheim
Lycia,Lycie
Fort Naxos,Fort Naxos
Hartbridge,Hartbridge
Conlingen,Conlingen
Donari Flagship,Vaisseau amiral Donari
Donari Ship,Navire Donari
Tidereaver Ship,Navire Brise-vagues
Tidereaver Flagship,Vaisseau amiral Brise-vagues
Lemelin Monastery,Monastère de Lemelin
Greyden Slave Complex,Complexe d'esclaves Greyden
Moorsen,Moorsen
Auberlund,Auberlund
Port Herald,Port Herald
Westerfield Fortress,Forteresse de Westerfield
Lemelin Fortress,Forteresse de Lemelin
Isanter Palace,Palais d'Isanter
Kusloda,Kusloda
Teutoberg,Teutoberg
Trucea,Trucea
Innsbruck,Innsbruck
Osterbach,Osterbach
Fort Findorian,Fort Findorian
Balcross,Balcross
Fort Eureeka,Fort Eureeka
Miletos,Miletos
Casamir's Base,Quartier général de Casamir
Rimorgue,Rimorgue
Melmonde,Melmonde
Kalletos,Kalletos
Mytimia,Mytimia
Lucia,Lucia
Stormrook,Stormrook
Westerfield,Westerfield
Imperial Sally Port,Port impérial de Sally
Tilrode,Tilrode
Signy,Signy
Rittenbach,Rittenbach
Tresilian,Tresilian
Embor,Embor
Eastwall Front Base,Base du front d'Eastwall
Eastwall Fortress,Forteresse d'Eastwall
Gorinheim,Gorinheim
New Grodaal,Nouveau Grodaal
"Felnamia Front Base,",Base du front de Felnamia
"Nikeda,","Nikeda,"
Midglen,Midglen
Kritea,Kritea
Blackstone,Blackstone
Sandraka Front Base,Base du front de Sandraka
Macbay,Macbay
Crestmoor,Crestmoor
Greywind Shrine,Sanctuaire de Greywind
Greywind Lake,Lac de Greywind
Ezrum,Ezrum
Fort Dakur,Fort Dakur
Qurmad,Qurmad
Reza,Reza
Dashun,Dashun
Sayunaa Palace,Palais de Sayunaa
Nephilim Army Base,Base militaire des Nephilims
Armitage,Armitage
Red Base,Base rouge
Blue Base,Base bleue
Fort Sairaa,Fort Sairaa
Sidaah,Sidaah
Dragon Egg,Œuf de dragon
Port Jenos,Port Jenos
Pyrocite Mine,Mine de Pyrocite
Bazaar,Bazar
Vinveil,Vinveil
Neubonne,Neubonne
Diana Front Base,Base du front de Diana
Eberminster,Eberminster
Nikeda,Nikeda
Nikeda Redoubt,Nikeda Redoubt
Herstadt,Herstadt
Felnamia,Felnamia
Veringian,Veringian
Fitch Family Farm,Ferme de la Famille Fitch
Trapped Sayunaari,Sayunaari Piégé
Embor Palace,Palais d'Embor
Helios Master Archive,Archives Principales d’Helios
Prison escape,Évasion de prison
Jidah,Jidah
